"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",5,"Joao Avila","OH",3,0,6,3,15,0.2,2,0,3,3,0,0,1,0,6.5,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",2,"Lorenzo Bertozzi","OH",3,0,9,3,16,0.375,2,2,1,5,1,0,1,0,11.5,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",23,"Donovan Constable","S",3,0,6,0,6,1,31,7,4,4,0,0,2,1,14,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",1,"Stilian Delibosov","MB",3,0,8,0,9,0.889,1,1,1,1,0,0,5,1,11.5,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",20,"Joao Favarim","MB",3,0,3,0,5,0.6,1,0,1,1,0,0,1,0,3.5,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",8,"Chris Karnezis","L",3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0
"CSUN","2025-2026",2025-01-09,"CSUN","Big West","Tusculum","DI Independent","Home",18,"Jalen Phillips","OPP",3,0,11,8,21,0.143,0,0,3,1,0,0,2,0,12,1
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",5,"Joao Avila","OH",3,0,8,1,11,0.636,1,0,4,4,0,0,2,0,9,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",2,"Lorenzo Bertozzi","OH",3,0,11,2,20,0.45,1,2,3,6,1,0,0,0,13,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",23,"Donovan Constable","S",3,0,1,2,3,-0.333,38,0,3,5,0,1,1,1,2.5,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",1,"Stilian Delibosov","MB",3,0,7,1,10,0.6,0,1,2,0,0,0,3,0,9.5,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",15,"Nir Eitan","MB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",20,"Joao Favarim","MB",3,0,2,1,3,0.333,1,1,3,4,0,0,2,0,4,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",8,"Chris Karnezis","L",3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",18,"Jalen Phillips","OPP",3,0,13,2,22,0.5,0,0,3,4,0,0,2,0,14,0
"CSUN","2025-2026",2025-01-10,"CSUN","Big West","Missouri S&T","DI Independent","Home",12,"Boaz Serson","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2025-2026",2025-01-11,"CSUN","Big West","Menlo","MPSF","Home",5,"Joao Avila","OH",4,0,4,2,8,0.25,2,1,4,6,1,1,2,0,7,0
"CSUN","2025-2026",2025-01-11,"CSUN","Big West","Menlo","MPSF","Home",2,"Lorenzo Bertozzi","OH",4,0,12,6,26,0.231,2,0,5,5,4,0,0,1,12,0
"CSUN","2025-2026",2025-01-11,"CSUN","Big West","Menlo","MPSF","Home",23,"Donovan Constable","S",4,0,5,0,7,0.714,43,2,5,4,0,0,6,0,10,0
