"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",21,"Cody Bowker","OH",1,0,1,2,3,-0.333,0,0,1,0,0,0,0,0,1,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",23,"Donovan Constable","S",3,0,0,1,1,-1,12,1,1,1,0,1,0,0,2,1
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",22,"Taylan Cook","L",3,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",7,"Kyle Hobus","OH",3,0,7,5,23,0.087,0,1,2,3,3,0,1,0,8.5,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",9,"Lance Krenik","S",1,0,0,0,0,0,10,0,1,3,0,0,0,0,0,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",3,"Luke Krzmarzick","OPP",2,0,2,4,7,-0.286,1,3,1,1,0,0,0,0,5,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",1,"Nathan Merren","OPP",2,0,0,1,2,-0.5,0,0,0,2,0,0,0,0,0,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",11,"Jackson Payne","MB",3,0,1,1,5,0,0,0,3,0,0,0,1,0,1.5,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",16,"Jano Tello","OH",3,0,4,1,8,0.375,0,1,1,2,0,1,0,0,6,0
"CSUN","2023-2024",2023-01-05,"CSUN","Big West","UCLA","MPSF","Home",12,"Griffin Walters","OH",3,0,10,4,21,0.286,0,1,2,1,2,0,0,0,11,0
"CSUN","2023-2024",2023-01-06,"CSUN","Big West","Southern California","MPSF","Home",2,"Lorenzo Bertozzi","OH",2,0,2,2,5,0,0,0,0,2,0,0,0,0,2,0
"CSUN","2023-2024",2023-01-06,"CSUN","Big West","Southern California","MPSF","Home",21,"Cody Bowker","OH",2,0,5,4,12,0.083,2,0,2,2,0,0,3,0,6.5,0
"CSUN","2023-2024",2023-01-06,"CSUN","Big West","Southern California","MPSF","Home",23,"Donovan Constable","S",2,0,0,0,0,0,18,0,3,1,0,0,1,0,0.5,1
