"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2023-2024","01/04/2024","CSUN","Big West","Grand Canyon @Santa Barbara, CA","L 0-3",3,NA,34,19,76,0.197,33,6,21,10,4,1,14,NA,48,NA
"2023-2024","01/05/2024","CSUN","Big West","NJIT @Santa Barbara, CA","W 3-1",4,NA,43,16,83,0.325,42,9,29,20,4,3,14,1,62,1
"2023-2024","01/06/2024","CSUN","Big West","George Mason @Santa Barbara, CA","L 1-3",4,NA,47,21,103,0.252,45,8,32,26,4,4,15,2,66.5,NA
"2023-2024","01/12/2024","CSUN","Big West","Harvard","W 3-1",4,NA,63,17,114,0.404,56,9,23,25,4,1,16,4,81,NA
"2023-2024","01/16/2024","CSUN","Big West","Cal Lutheran","W 3-0",3,NA,42,12,76,0.395,38,4,23,11,NA,4,9,2,54.5,NA
"2023-2024","01/19/2024","CSUN","Big West","Princeton","L 2-3",5,NA,64,20,118,0.373,60,14,32,25,6,NA,11,2,83.5,NA
"2023-2024","01/24/2024","CSUN","Big West","@ Southern California","W 3-2",5,NA,56,17,113,0.345,55,9,NA,26,7,1,16,1,74,NA
"2023-2024","01/27/2024","CSUN","Big West","Central St. (OH)","W 3-0",3,NA,34,13,66,0.318,31,12,19,18,2,1,12,NA,53,NA
"2023-2024","02/02/2024","CSUN","Big West","@ Stanford","L 1-3",4,NA,44,20,102,0.235,40,1,28,19,10,4,11,2,54.5,NA
"2023-2024","02/03/2024","CSUN","Big West","@ Stanford","W 3-1",4,NA,60,16,115,0.383,56,5,29,31,4,3,13,NA,74.5,NA
"2023-2024","02/07/2024","CSUN","Big West","UC Merced","W 3-1",4,NA,52,15,93,0.398,47,8,32,28,2,1,15,2,68.5,NA
"2023-2024","02/09/2024","CSUN","Big West","Master's","L 0-3",3,NA,41,13,78,0.359,37,2,26,20,1,3,4,NA,48,NA
"2023-2024","02/14/2024","CSUN","Big West","Hope Int'l","W 3-0",3,NA,41,7,75,0.453,37,6,23,14,4,NA,10,NA,52,NA
"2023-2024","02/24/2024","CSUN","Big West","Lewis","L 2-3",5,NA,55,28,128,0.211,50,3,20,31,2,1,23,NA,70.5,NA
"2023-2024","02/28/2024","CSUN","Big West","Pepperdine","L 2-3",5,NA,53,22,121,0.256,50,8,21,33,1,3,18,3,73,NA
"2023-2024","03/01/2024","CSUN","Big West","Charleston (WV)","W 3-0",3,NA,37,14,70,0.329,34,13,17,14,5,2,12,NA,58,NA
"2023-2024","03/05/2024","CSUN","Big West","Penn St.","L 1-3",4,NA,44,20,100,0.24,40,5,26,24,2,3,16,1,60,NA
"2023-2024","03/14/2024","CSUN","Big West","@ UC San Diego","L 1-3",4,NA,52,25,116,0.233,51,5,20,32,8,NA,10,NA,62,NA
"2023-2024","03/15/2024","CSUN","Big West","UC San Diego","L 2-3",5,NA,58,20,127,0.299,54,5,22,32,4,3,13,3,72.5,NA
"2023-2024","03/22/2024","CSUN","Big West","@ Hawaii","L 1-3",4,NA,49,19,111,0.27,45,5,22,27,6,2,11,2,61.5,NA
"2023-2024","03/23/2024","CSUN","Big West","@ Hawaii","W 3-1",4,NA,54,13,106,0.387,51,5,19,26,6,2,19,1,70.5,NA
"2023-2024","03/29/2024","CSUN","Big West","UC Irvine","W 3-1",4,NA,50,19,112,0.277,50,4,16,41,5,5,24,3,71,NA
"2023-2024","03/30/2024","CSUN","Big West","@ UC Irvine","L 0-3",3,NA,44,14,92,0.326,42,7,12,26,3,1,10,2,57,NA
"2023-2024","04/05/2024","CSUN","Big West","@ Long Beach St.","L 0-3",3,NA,28,20,75,0.107,25,4,11,24,5,1,12,2,39,1
"2023-2024","04/06/2024","CSUN","Big West","Long Beach St.","L 0-3",3,NA,34,12,74,0.297,33,1,12,19,7,NA,9,1,39.5,NA
"2023-2024","04/12/2024","CSUN","Big West","@ UC Santa Barbara","L 1-3",4,NA,42,14,92,0.304,40,6,17,25,NA,2,15,NA,57.5,1
"2023-2024","04/13/2024","CSUN","Big West","UC Santa Barbara","W 3-1",4,NA,47,16,86,0.36,45,12,18,23,4,2,18,NA,70,NA
"2023-2024","04/18/2024","CSUN","Big West","#4 UC San Diego @Honolulu, HI (2024 Big West MVB Tournament)","W 3-0",3,NA,46,14,81,0.395,42,8,21,29,5,3,5,2,59.5,NA
"2023-2024","04/19/2024","CSUN","Big West","#1 Long Beach St. @Honolulu, HI (2024 Big West MVB Tournament)","L 1-3",4,NA,54,24,119,0.252,52,5,15,34,3,NA,7,5,62.5,NA
"2023-2024","01/03/2024","Hawaii","Big West","Loyola Chicago","W 3-0",3,NA,38,15,90,0.256,38,6,5,43,4,2,11,NA,51.5,NA
"2023-2024","01/05/2024","Hawaii","Big West","Loyola Chicago","L 2-3",5,NA,66,13,113,0.469,66,11,27,35,6,2,10,1,84,1
"2023-2024","01/10/2024","Hawaii","Big West","Emmanuel (GA)","W 3-0",3,NA,31,18,73,0.178,26,12,10,25,1,1,16,2,52,NA
"2023-2024","01/12/2024","Hawaii","Big West","Emmanuel (GA)","W 3-0",3,NA,33,7,53,0.491,32,14,11,20,3,1,13,2,54.5,NA
"2023-2024","01/25/2024","Hawaii","Big West","@ Purdue Fort Wayne","W 3-1",4,NA,47,14,93,0.355,44,6,17,42,2,1,6,1,57,NA
"2023-2024","01/26/2024","Hawaii","Big West","@ Purdue Fort Wayne","W 3-0",3,NA,47,9,78,0.487,44,4,8,26,2,1,12,NA,58,1
"2023-2024","01/28/2024","Hawaii","Big West","@ Ball St.","W 3-1",4,NA,54,13,112,0.366,51,9,11,28,4,3,17,2,74.5,NA
