"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2024-2025","04/19/2025","Hawaii","Big West","@ UC Santa Barbara","L 0-3",3,NA,38,15,86,0.267,35,4,8,35,7,2,10,2,49,NA
"2024-2025","04/25/2025","Hawaii","Big West","#3 UC Irvine 2025 MVB Big West Tournament","W 3-1",4,NA,49,16,108,0.306,46,8,19,33,12,2,25,2,71.5,NA
"2024-2025","04/26/2025","Hawaii","Big West","#1 Long Beach St. 2025 MVB Big West Tournament","W 3-1",4,NA,51,12,95,0.411,47,5,11,24,8,3,8,1,63,NA
"2024-2025","05/08/2025","Hawaii","Big West","#7 Penn St. @Columbus, OH (2025 NC MVB NCAA Tournament)","W 3-1",4,NA,52,23,122,0.238,45,10,14,30,4,1,18,5,72,NA
"2024-2025","05/10/2025","Hawaii","Big West","#3 UCLA @Columbus, OH (2025 NC MVB NCAA Tournament)","L 0-3",3,NA,30,14,85,0.188,26,3,14,22,6,NA,8,2,37,NA
"2024-2025","01/10/2025","Long Beach St.","Big West","Saint Francis","W 3-0",3,NA,34,5,46,0.63,32,5,10,19,1,2,21,2,51.5,NA
"2024-2025","01/11/2025","Long Beach St.","Big West","FDU","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-2025","01/15/2025","Long Beach St.","Big West","@ Lindenwood","W 3-0",3,NA,44,9,81,0.432,36,2,17,18,2,3,4,NA,51,1
"2024-2025","01/16/2025","Long Beach St.","Big West","@ McKendree","W 3-0",3,NA,43,7,81,0.444,38,6,14,35,3,NA,14,NA,56,NA
"2024-2025","01/18/2025","Long Beach St.","Big West","@ Lewis","W 3-1",4,NA,63,20,127,0.339,59,8,16,50,3,3,15,1,81.5,NA
"2024-2025","01/24/2025","Long Beach St.","Big West","CUI","W 3-0",3,NA,39,11,69,0.406,38,12,18,24,NA,NA,18,1,60,NA
"2024-2025","01/26/2025","Long Beach St.","Big West","@ Pepperdine","W 3-2",5,NA,57,16,111,0.369,53,11,24,32,2,NA,18,NA,85,NA
"2024-2025","01/31/2025","Long Beach St.","Big West","Fort Valley St. @Reno, NV","W 3-0",3,NA,40,10,78,0.385,35,9,15,24,2,1,7,3,53.5,NA
"2024-2025","02/01/2025","Long Beach St.","Big West","Belmont Abbey @Reno, NV","W 3-0",3,NA,41,7,67,0.507,38,6,21,23,NA,NA,16,1,55,NA
"2024-2025","02/07/2025","Long Beach St.","Big West","UCLA","W 3-1",4,NA,43,17,88,0.295,39,9,20,23,3,NA,11,2,57.5,NA
"2024-2025","02/12/2025","Long Beach St.","Big West","@ UCLA","W 3-0",3,NA,44,10,77,0.442,41,3,16,18,1,1,10,NA,53,NA
"2024-2025","02/14/2025","Long Beach St.","Big West","Vanguard","W 3-0",3,NA,40,8,65,0.492,33,9,13,20,4,2,10,NA,56,NA
"2024-2025","02/21/2025","Long Beach St.","Big West","Grand Canyon","W 3-0",3,NA,49,16,93,0.355,46,8,17,20,1,NA,18,NA,66,NA
"2024-2025","02/22/2025","Long Beach St.","Big West","Barton","W 3-0",3,NA,40,14,82,0.317,37,9,12,27,NA,1,12,NA,56,NA
"2024-2025","02/23/2025","Long Beach St.","Big West","Barton","W 3-0",3,NA,40,6,60,0.567,39,14,12,16,1,NA,15,1,61.5,NA
"2024-2025","03/05/2025","Long Beach St.","Big West","@ CSUN","W 3-0",3,NA,38,3,67,0.522,36,6,14,16,7,1,12,1,51,NA
"2024-2025","03/07/2025","Long Beach St.","Big West","Sacred Heart","W 3-0",3,NA,39,8,75,0.413,30,12,14,26,1,2,8,NA,57,NA
"2024-2025","03/14/2025","Long Beach St.","Big West","CSUN","W 3-0",3,NA,33,9,62,0.387,31,13,18,21,1,NA,19,NA,55.5,1
"2024-2025","03/15/2025","Long Beach St.","Big West","Princeton","W 3-0",3,NA,39,13,78,0.333,37,8,17,18,1,1,17,NA,56.5,1
"2024-2025","03/21/2025","Long Beach St.","Big West","NJIT","W 3-1",4,NA,48,12,95,0.379,41,8,18,28,2,1,NA,1,78,NA
"2024-2025","03/22/2025","Long Beach St.","Big West","NJIT","W 3-0",3,NA,41,12,76,0.382,37,7,15,25,3,NA,25,1,60.5,NA
"2024-2025","03/28/2025","Long Beach St.","Big West","UC Irvine","L 0-3",3,NA,41,18,84,0.274,39,4,22,17,8,NA,NA,NA,45,NA
"2024-2025","03/29/2025","Long Beach St.","Big West","@ UC Irvine","W 3-0",3,NA,47,11,85,0.424,45,5,17,22,3,NA,17,4,60.5,NA
"2024-2025","04/03/2025","Long Beach St.","Big West","@ UC Santa Barbara","W 3-1",4,NA,52,10,102,0.412,51,7,26,28,4,NA,19,2,68.5,NA
"2024-2025","04/04/2025","Long Beach St.","Big West","UC Santa Barbara","W 3-0",3,NA,37,12,72,0.347,31,5,16,32,NA,1,18,1,52,NA
"2024-2025","04/11/2025","Long Beach St.","Big West","@ Hawaii","W 3-1",4,NA,51,13,104,0.365,46,6,18,27,3,2,19,4,68.5,NA
"2024-2025","04/12/2025","Long Beach St.","Big West","@ Hawaii","L 2-3",5,NA,58,20,113,0.336,54,5,27,24,2,4,19,2,76.5,NA
"2024-2025","04/18/2025","Long Beach St.","Big West","@ UC San Diego","W 3-0",3,NA,43,11,72,0.444,40,4,13,20,1,NA,9,NA,51.5,NA
"2024-2025","04/19/2025","Long Beach St.","Big West","UC San Diego","W 3-0",3,NA,43,6,79,0.468,40,6,11,24,3,1,24,1,62,NA
"2024-2025","04/25/2025","Long Beach St.","Big West","#4 UC San Diego @Honolulu, HI (2025 MVB Big West Tournament)","W 3-0",3,NA,41,13,70,0.4,39,6,10,23,2,2,12,1,55,NA
"2024-2025","04/26/2025","Long Beach St.","Big West","@#2 Hawaii 2025 MVB Big West Tournament","L 1-3",4,NA,58,20,111,0.342,56,8,20,24,5,1,14,2,74,NA
"2024-2025","05/08/2025","Long Beach St.","Big West","#8 Fort Valley St. @Columbus, OH (2025 NC MVB NCAA Tournament)","W 3-0",3,NA,42,13,79,0.367,39,6,17,27,NA,NA,8,NA,52,NA
"2024-2025","05/10/2025","Long Beach St.","Big West","#5 Pepperdine @Columbus, OH (2025 NC MVB NCAA Tournament)","W 3-1",4,NA,66,11,114,0.482,65,5,21,34,3,NA,14,4,78,NA
"2024-2025","05/12/2025","Long Beach St.","Big West","#3 UCLA @Columbus, OH (2025 NC MVB NCAA Tournament)","W 3-0",3,NA,37,14,65,0.354,34,5,15,15,3,NA,19,NA,51.5,NA
"2024-2025","01/09/2025","UC Irvine","Big West","Menlo @Santa Barbara, CA","W 3-0",3,NA,32,7,58,0.431,28,14,14,19,4,1,14,1,54,NA
"2024-2025","01/10/2025","UC Irvine","Big West","Tusculum @Santa Barbara, CA","W 3-0",3,NA,37,6,65,0.477,34,13,13,20,NA,1,6,1,54,NA
"2024-2025","01/11/2025","UC Irvine","Big West","Missouri S&T @Santa Barbara, CA","W 3-0",3,NA,44,14,79,0.38,44,7,12,27,2,2,10,1,58,NA
"2024-2025","01/22/2025","UC Irvine","Big West","BYU","W 3-2",5,NA,65,19,142,0.324,62,7,19,51,7,2,21,NA,84.5,NA
"2024-2025","01/24/2025","UC Irvine","Big West","BYU","W 3-0",3,NA,41,8,94,0.351,39,8,13,41,4,NA,15,NA,56.5,NA
"2024-2025","01/31/2025","UC Irvine","Big West","@ Stanford","W 3-0",3,NA,38,14,85,0.282,37,9,11,19,2,1,8,NA,52,NA
"2024-2025","02/01/2025","UC Irvine","Big West","@ Stanford","W 3-0",3,NA,39,14,106,0.236,33,6,13,33,2,2,21,1,57.5,NA
"2024-2025","02/08/2025","UC Irvine","Big West","@ CUI","W 3-1",4,NA,53,20,115,0.287,51,7,15,44,5,1,12,1,67,NA
"2024-2025","02/12/2025","UC Irvine","Big West","Southern California","W 3-2",5,NA,NA,21,NA,0.335,NA,4,18,NA,3,5,25,NA,NA,NA
"2024-2025","02/14/2025","UC Irvine","Big West","@ Southern California","W 3-0",3,NA,43,10,87,0.379,43,3,9,25,1,2,12,4,54,NA
"2024-2025","02/19/2025","UC Irvine","Big West","UCLA","L 0-3",3,NA,20,15,65,0.077,20,9,11,16,4,2,4,1,33,NA
"2024-2025","02/22/2025","UC Irvine","Big West","@ UCLA","L 2-3",5,NA,55,20,114,0.307,46,3,17,25,13,3,12,1,67,NA
"2024-2025","02/28/2025","UC Irvine","Big West","@ Hawaii","L 0-3",3,NA,35,10,79,0.316,32,4,12,23,6,1,15,1,47.5,NA
"2024-2025","03/02/2025","UC Irvine","Big West","@ Hawaii","L 0-3",3,NA,34,16,78,0.231,34,6,9,27,7,2,7,1,45.5,NA
"2024-2025","03/07/2025","UC Irvine","Big West","Pepperdine","W 3-0",3,NA,36,10,74,0.351,33,8,10,30,3,3,16,3,55,NA
"2024-2025","03/08/2025","UC Irvine","Big West","Sacred Heart","W 3-0",3,NA,36,9,66,0.409,29,10,12,21,2,NA,16,NA,54,NA
"2024-2025","03/21/2025","UC Irvine","Big West","Daemen @Fairfax, VA","W 3-0",3,NA,40,4,56,NA,39,7,15,18,1,2,4,NA,51,NA
"2024-2025","03/22/2025","UC Irvine","Big West","@ George Mason","W 3-0",3,NA,38,11,68,0.397,36,9,15,17,1,6,2,1,54,NA
"2024-2025","03/28/2025","UC Irvine","Big West","@ Long Beach St.","W 3-0",3,NA,29,4,53,0.472,27,8,13,19,4,1,13,2,44.5,NA
"2024-2025","03/29/2025","UC Irvine","Big West","Long Beach St.","L 0-3",3,NA,38,14,84,0.286,37,3,13,19,5,NA,12,NA,47,NA
"2024-2025","04/04/2025","UC Irvine","Big West","@ UC San Diego","L 1-3",4,NA,48,19,117,0.248,43,3,11,39,3,1,4,2,54,NA
"2024-2025","04/05/2025","UC Irvine","Big West","UC San Diego","W 3-0",3,NA,46,7,85,0.459,42,5,11,20,4,NA,10,1,56,NA
"2024-2025","04/10/2025","UC Irvine","Big West","@ UC Santa Barbara","W 3-2",5,NA,64,12,119,0.437,61,6,21,38,8,1,12,3,77,NA
"2024-2025","04/12/2025","UC Irvine","Big West","UC Santa Barbara","W 3-0",3,NA,31,12,85,0.224,27,11,11,29,2,2,9,NA,48.5,NA
"2024-2025","04/17/2025","UC Irvine","Big West","CSUN","W 3-0",3,NA,39,7,72,0.444,38,12,15,27,1,NA,13,1,57.5,NA
"2024-2025","04/19/2025","UC Irvine","Big West","@ CSUN","W 3-2",5,NA,67,18,122,0.402,61,4,14,32,6,2,17,2,81.5,NA
"2024-2025","04/24/2025","UC Irvine","Big West","#6 CSUN @Honolulu, HI (2025 MVB Big West Tournament)","W 3-2",5,NA,69,17,144,0.361,66,5,19,43,7,4,6,3,81,NA
"2024-2025","04/25/2025","UC Irvine","Big West","@#2 Hawaii 2025 MVB Big West Tournament","L 1-3",4,NA,43,18,107,0.234,40,12,13,33,8,1,11,2,61.5,NA
"2024-2025","01/07/2025","UC San Diego","Big West","McKendree","W 3-0",3,NA,39,13,87,0.299,35,6,18,33,2,2,13,NA,53.5,NA
"2024-2025","01/08/2025","UC San Diego","Big West","Saint Francis","W 3-0",3,NA,32,7,57,0.439,31,12,13,15,5,1,13,NA,51.5,NA
"2024-2025","01/10/2025","UC San Diego","Big West","Daemen","W 3-0",3,NA,29,6,53,0.434,27,5,19,17,3,2,11,2,41.5,NA
"2024-2025","01/14/2025","UC San Diego","Big West","George Mason","W 3-0",3,NA,35,9,66,0.394,30,5,20,21,2,2,16,NA,50,NA
"2024-2025","01/17/2025","UC San Diego","Big West","Lindenwood @Northridge, CA","W 3-1",4,NA,39,19,97,0.206,39,5,19,36,9,3,16,1,55,NA
"2024-2025","01/18/2025","UC San Diego","Big West","Purdue Fort Wayne @Northridge, CA","W 3-0",3,NA,36,12,82,0.293,34,9,13,22,2,1,13,1,52.5,NA
"2024-2025","01/23/2025","UC San Diego","Big West","@ UCLA","L 1-3",4,NA,36,18,98,0.184,35,11,18,33,NA,NA,18,NA,56,1
"2024-2025","01/24/2025","UC San Diego","Big West","Vanguard","W 3-0",3,NA,43,5,70,0.543,43,8,15,31,2,NA,8,1,55,NA
"2024-2025","02/01/2025","UC San Diego","Big West","Loyola Chicago","L 2-3",5,NA,67,NA,NA,0.192,66,4,26,58,9,3,19,1,83.5,NA
"2024-2025","02/04/2025","UC San Diego","Big West","Lincoln Memorial","W 3-0",3,NA,44,9,87,0.402,40,5,17,29,1,2,9,NA,55.5,1
"2024-2025","02/07/2025","UC San Diego","Big West","@ Vanguard","W 3-2",5,NA,56,16,115,0.348,49,6,20,39,13,NA,11,1,67.5,NA
"2024-2025","02/14/2025","UC San Diego","Big West","@ Grand Canyon","L 1-3",4,NA,52,21,117,0.265,50,NA,22,31,5,NA,27,NA,65.5,NA
"2024-2025","02/15/2025","UC San Diego","Big West","@ Grand Canyon","L 2-3",5,NA,66,21,138,0.326,59,6,15,52,7,1,7,1,76.5,NA
"2024-2025","02/22/2025","UC San Diego","Big West","@ CUI","W 3-0",3,NA,35,10,68,0.368,34,8,18,22,1,1,10,NA,49,NA
"2024-2025","02/28/2025","UC San Diego","Big West","@ Menlo","W 3-0",3,NA,48,5,78,0.551,42,5,19,20,4,1,8,NA,58,NA
"2024-2025","03/01/2025","UC San Diego","Big West","@ Stanford","W 3-2",5,NA,57,15,124,0.339,54,4,26,33,5,NA,24,2,73,NA
"2024-2025","03/05/2025","UC San Diego","Big West","Sacred Heart","W 3-0",3,NA,43,13,86,0.349,40,6,23,27,6,NA,8,NA,53,NA
"2024-2025","03/07/2025","UC San Diego","Big West","@ UC Santa Barbara","W 3-1",4,NA,46,18,109,0.257,38,8,12,32,5,1,23,1,66.5,NA
"2024-2025","03/10/2025","UC San Diego","Big West","Princeton","W 3-1",4,NA,42,20,88,0.25,41,10,20,26,2,1,12,NA,59,NA
"2024-2025","03/14/2025","UC San Diego","Big West","UC Santa Barbara","W 3-1",4,NA,53,19,107,0.318,49,6,14,27,3,5,4,2,66,NA
"2024-2025","03/28/2025","UC San Diego","Big West","@ Hawaii","L 0-3",3,NA,31,16,83,0.181,30,1,8,26,6,NA,15,NA,39.5,NA
"2024-2025","03/29/2025","UC San Diego","Big West","@ Hawaii","L 1-3",4,NA,49,21,106,0.264,46,8,13,25,3,1,12,5,64,1
"2024-2025","04/04/2025","UC San Diego","Big West","UC Irvine","W 3-1",4,NA,64,13,125,0.408,62,3,22,41,3,NA,16,1,75,NA
"2024-2025","04/05/2025","UC San Diego","Big West","@ UC Irvine","L 0-3",3,NA,40,12,75,0.373,36,4,13,22,5,NA,6,2,47,NA
"2024-2025","04/10/2025","UC San Diego","Big West","@ CSUN","L 2-3",5,NA,63,17,128,0.359,61,5,26,36,4,4,12,1,78,NA
"2024-2025","04/12/2025","UC San Diego","Big West","CSUN","L 2-3",5,NA,74,23,162,0.315,72,4,23,47,2,1,18,1,88,NA
"2024-2025","04/18/2025","UC San Diego","Big West","Long Beach St.","L 0-3",3,NA,29,16,70,0.186,29,1,12,15,4,1,6,1,34,NA
"2024-2025","04/19/2025","UC San Diego","Big West","@ Long Beach St.","L 0-3",3,NA,30,21,86,0.105,30,3,5,22,6,NA,NA,1,33,NA
"2024-2025","04/24/2025","UC San Diego","Big West","#5 UC Santa Barbara @Honolulu, HI (2025 MVB Big West Tournament)","W 3-2",5,NA,66,23,144,0.299,62,5,15,45,6,2,31,4,88.5,NA
"2024-2025","04/25/2025","UC San Diego","Big West","#1 Long Beach St. @Honolulu, HI (2025 MVB Big West Tournament)","L 0-3",3,NA,33,14,75,0.253,31,2,14,12,6,NA,7,1,38.5,NA
"2024-2025","01/09/2025","UC Santa Barbara","Big West","Missouri S&T","W 3-0",3,NA,45,13,93,0.344,44,3,19,23,3,4,11,2,57.5,NA
"2024-2025","01/10/2025","UC Santa Barbara","Big West","Menlo","W 3-1",4,NA,65,14,111,0.459,55,6,22,36,3,NA,9,2,75.5,NA
"2024-2025","01/11/2025","UC Santa Barbara","Big West","Tusculum","W 3-0",3,NA,44,18,85,0.306,43,8,16,22,2,NA,9,2,56.5,NA
"2024-2025","01/17/2025","UC Santa Barbara","Big West","Emmanuel (GA)","W 3-0",3,NA,40,10,74,0.405,34,8,12,24,NA,1,6,2,52,NA
"2024-2025","01/24/2025","UC Santa Barbara","Big West","@ Grand Canyon","W 3-0",3,NA,42,16,87,0.299,36,8,19,27,2,1,13,NA,57.5,NA
"2024-2025","01/25/2025","UC Santa Barbara","Big West","@ Grand Canyon","L 2-3",5,NA,59,21,130,0.292,54,6,NA,37,4,NA,7,4,68.5,NA
"2024-2025","01/29/2025","UC Santa Barbara","Big West","CUI","W 3-0",3,NA,43,17,94,0.277,41,6,14,31,NA,NA,17,2,57.5,NA
"2024-2025","01/31/2025","UC Santa Barbara","Big West","Lewis","L 1-3",4,NA,48,23,134,0.187,44,8,20,39,5,NA,8,1,60,NA
"2024-2025","02/07/2025","UC Santa Barbara","Big West","@ BYU","L 0-3",3,NA,40,20,86,0.233,37,1,22,26,2,NA,12,1,47,NA
"2024-2025","02/08/2025","UC Santa Barbara","Big West","@ BYU","L 0-3",3,NA,28,22,70,0.086,26,NA,15,14,4,1,5,NA,31.5,NA
"2024-2025","02/14/2025","UC Santa Barbara","Big West","Pepperdine","L 0-3",3,NA,27,22,82,0.061,27,1,19,24,6,1,6,NA,32,NA
"2024-2025","02/15/2025","UC Santa Barbara","Big West","@ Pepperdine","L 0-3",3,NA,36,17,88,0.216,36,2,11,17,4,1,12,NA,45,NA
"2024-2025","02/20/2025","UC Santa Barbara","Big West","@ CUI","W 3-1",4,NA,45,16,111,0.261,44,8,17,34,5,3,29,3,70.5,NA
"2024-2025","02/25/2025","UC Santa Barbara","Big West","Cal Lutheran","W 3-0",3,NA,48,11,94,0.394,44,4,18,35,NA,2,14,3,61,NA
"2024-2025","02/26/2025","UC Santa Barbara","Big West","@ UCLA","L 1-3",4,NA,42,22,90,0.222,40,5,25,28,9,NA,9,1,51.5,NA
"2024-2025","02/28/2025","UC Santa Barbara","Big West","UCLA","L 1-3",4,NA,43,20,97,0.237,37,4,20,19,4,NA,7,2,50.5,NA
"2024-2025","03/07/2025","UC Santa Barbara","Big West","UC San Diego","L 1-3",4,NA,48,23,112,0.223,42,5,17,31,8,NA,9,1,57.5,NA
"2024-2025","03/14/2025","UC Santa Barbara","Big West","@ UC San Diego","L 1-3",4,NA,52,21,106,0.292,48,3,16,29,6,2,4,NA,59,NA
"2024-2025","03/25/2025","UC Santa Barbara","Big West","@ Cal Lutheran","W 3-2",5,NA,76,16,142,0.423,71,4,25,52,5,1,18,NA,90,1
"2024-2025","03/28/2025","UC Santa Barbara","Big West","@ CSUN","W 3-2",5,NA,56,26,128,0.234,47,8,20,35,8,1,25,NA,77.5,NA
"2024-2025","03/29/2025","UC Santa Barbara","Big West","CSUN","W 3-1",4,NA,55,19,103,0.35,54,2,20,37,4,3,14,3,67,NA
