"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2024-2025","01/09/2025","CSUN","Big West","Tusculum @Santa Barbara, CA","W 3-0",3,NA,43,14,72,0.403,40,10,13,20,1,NA,12,2,59,1
"2024-2025","01/10/2025","CSUN","Big West","Missouri S&T @Santa Barbara, CA","W 3-0",3,NA,42,9,69,0.478,42,4,18,26,1,1,10,1,52,NA
"2024-2025","01/11/2025","CSUN","Big West","Menlo @Santa Barbara, CA","W 3-1",4,NA,58,15,110,0.391,51,3,23,25,6,2,32,4,79,NA
"2024-2025","01/17/2025","CSUN","Big West","Purdue Fort Wayne","W 3-0",3,NA,40,10,78,0.385,39,5,16,26,1,2,11,2,52.5,NA
"2024-2025","01/18/2025","CSUN","Big West","Lindenwood","W 3-1",4,NA,64,15,126,0.389,62,3,15,46,4,5,16,NA,80,NA
"2024-2025","01/22/2025","CSUN","Big West","Southern California","L 1-3",4,NA,54,26,128,0.219,49,3,10,36,3,2,13,3,65.5,NA
"2024-2025","01/24/2025","CSUN","Big West","UCLA","L 1-3",4,NA,32,24,98,0.082,28,7,15,23,12,1,8,1,44,NA
"2024-2025","02/01/2025","CSUN","Big West","St. Thomas Aquinas @Fairfax, VA","W 3-0",3,NA,35,12,81,0.284,31,7,12,28,2,2,14,NA,51,NA
"2024-2025","02/02/2025","CSUN","Big West","@ George Mason","W 3-1",4,NA,55,17,114,0.333,52,8,17,43,6,NA,21,NA,73.5,1
"2024-2025","02/07/2025","CSUN","Big West","Dominican (NY)","W 3-0",3,NA,40,16,74,0.324,37,9,12,14,1,2,6,NA,54,NA
"2024-2025","02/08/2025","CSUN","Big West","@ Pepperdine","W 3-1",4,NA,50,21,113,0.257,48,9,14,34,2,2,17,3,69.5,NA
"2024-2025","02/14/2025","CSUN","Big West","Jessup","W 3-1",4,NA,49,12,88,0.42,43,11,18,33,4,NA,13,2,66.5,NA
"2024-2025","02/19/2025","CSUN","Big West","Grand Canyon","W 3-1",4,NA,46,21,104,0.24,43,8,23,32,NA,2,20,1,66,NA
"2024-2025","02/28/2025","CSUN","Big West","Cal Lutheran","W 3-0",3,NA,35,14,71,0.296,34,14,16,24,5,1,11,1,55.5,NA
"2024-2025","03/03/2025","CSUN","Big West","Sacred Heart","W 3-0",3,NA,37,5,59,0.542,36,6,16,14,6,3,9,1,50.5,NA
"2024-2025","03/05/2025","CSUN","Big West","Long Beach St.","L 0-3",3,NA,33,14,66,0.288,33,7,16,20,6,1,2,2,42,NA
"2024-2025","03/12/2025","CSUN","Big West","Princeton","W 3-1",4,NA,54,16,107,0.355,51,3,22,20,4,1,10,NA,63,NA
"2024-2025","03/14/2025","CSUN","Big West","@ Long Beach St.","L 0-3",3,NA,19,18,63,0.016,18,1,10,16,13,NA,4,NA,22,NA
"2024-2025","03/20/2025","CSUN","Big West","@ Lewis","W 3-2",5,NA,50,20,139,0.216,48,11,18,40,8,1,14,NA,69,1
"2024-2025","03/22/2025","CSUN","Big West","@ Loyola Chicago","L 2-3",5,NA,48,25,124,0.185,45,4,27,42,5,3,23,1,66.5,NA
"2024-2025","03/28/2025","CSUN","Big West","UC Santa Barbara","L 2-3",5,NA,58,25,138,0.239,53,8,20,37,8,3,21,NA,79.5,NA
"2024-2025","03/29/2025","CSUN","Big West","@ UC Santa Barbara","L 1-3",4,NA,38,16,94,0.234,36,4,19,23,2,NA,21,4,52.5,NA
"2024-2025","04/04/2025","CSUN","Big West","Hawaii","W 3-0",3,NA,45,7,75,0.507,39,3,18,15,1,4,11,NA,57.5,NA
"2024-2025","04/05/2025","CSUN","Big West","Hawaii","L 0-3",3,NA,27,16,67,0.164,25,3,13,14,8,3,14,2,40,NA
"2024-2025","04/10/2025","CSUN","Big West","UC San Diego","W 3-2",5,NA,62,21,127,0.323,59,4,24,41,5,2,9,3,72.5,NA
"2024-2025","04/12/2025","CSUN","Big West","@ UC San Diego","W 3-2",5,NA,73,23,154,0.325,70,2,17,57,4,2,10,NA,82,NA
"2024-2025","04/17/2025","CSUN","Big West","@ UC Irvine","L 0-3",3,NA,24,12,69,0.174,23,1,11,22,12,NA,6,1,28,NA
"2024-2025","04/19/2025","CSUN","Big West","UC Irvine","L 2-3",5,NA,64,18,118,0.39,62,6,18,32,4,2,11,4,77.5,NA
"2024-2025","04/24/2025","CSUN","Big West","#3 UC Irvine @Honolulu, HI (2025 MVB Big West Tournament)","L 2-3",5,NA,64,17,131,0.359,61,7,16,41,5,1,10,4,77,NA
"2024-2025","01/03/2025","Hawaii","Big West","McKendree","W 3-1",4,NA,57,19,105,0.362,55,7,18,30,6,2,11,NA,71.5,NA
"2024-2025","01/05/2025","Hawaii","Big West","McKendree","W 3-0",3,NA,47,9,82,0.463,45,5,12,25,2,NA,9,1,56.5,NA
"2024-2025","01/08/2025","Hawaii","Big West","Harvard","W 3-0",3,NA,39,7,80,0.4,37,5,14,21,4,1,21,NA,55.5,NA
"2024-2025","01/10/2025","Hawaii","Big West","Harvard","W 3-2",5,NA,62,17,114,0.395,56,8,22,32,8,3,25,3,85.5,NA
"2024-2025","01/15/2025","Hawaii","Big West","Princeton","W 3-1",4,NA,48,16,84,0.381,44,NA,16,18,6,1,2,NA,66,NA
"2024-2025","01/17/2025","Hawaii","Big West","Princeton","W 3-0",3,NA,39,14,75,0.333,34,9,14,21,NA,2,15,NA,57.5,NA
"2024-2025","01/31/2025","Hawaii","Big West","@ BYU","W 3-2",5,NA,61,23,123,0.309,55,11,23,27,2,1,35,2,90.5,NA
"2024-2025","02/01/2025","Hawaii","Big West","@ BYU","W 3-1",4,NA,45,22,106,0.217,44,5,12,24,4,2,29,2,66.5,NA
"2024-2025","02/05/2025","Hawaii","Big West","Stanford","W 3-2",5,NA,56,24,119,0.269,56,11,18,37,7,2,6,5,72,NA
"2024-2025","02/07/2025","Hawaii","Big West","Stanford","L 1-3",4,NA,56,19,115,0.322,52,8,14,36,6,3,14,4,74,NA
"2024-2025","02/20/2025","Hawaii","Big West","@ Belmont Abbey","W 3-0",3,NA,46,10,79,0.456,46,5,14,30,1,2,13,1,59.5,NA
"2024-2025","02/21/2025","Hawaii","Big West","@ Queens (NC)","W 3-0",3,NA,42,13,82,0.354,39,6,12,32,2,3,4,NA,53,NA
"2024-2025","02/22/2025","Hawaii","Big West","@ Catawba","W 3-1",4,NA,57,16,119,0.345,50,7,14,39,2,3,17,2,75.5,NA
"2024-2025","02/22/2025","Hawaii","Big West","@ Queens (NC)","W 3-1",4,NA,59,13,108,0.426,53,7,16,41,3,NA,11,1,71.5,NA
"2024-2025","02/28/2025","Hawaii","Big West","UC Irvine","W 3-0",3,NA,48,14,93,0.366,44,6,14,29,4,NA,9,2,58.5,NA
"2024-2025","03/02/2025","Hawaii","Big West","UC Irvine","W 3-0",3,NA,42,9,86,0.384,38,7,12,25,6,1,20,1,60,NA
"2024-2025","03/05/2025","Hawaii","Big West","Lindenwood","W 3-0",3,NA,42,7,67,0.522,41,5,11,17,4,1,17,2,56.5,NA
"2024-2025","03/07/2025","Hawaii","Big West","Lindenwood","W 3-1",4,NA,50,18,105,0.305,47,2,14,32,4,2,17,1,62.5,1
"2024-2025","03/13/2025","Hawaii","Big West","Ball St.","W 3-0",3,NA,46,12,84,0.405,42,7,15,25,2,2,13,1,61.5,NA
"2024-2025","03/14/2025","Hawaii","Big West","Penn St.","W 3-0",3,NA,39,10,73,0.397,38,6,12,30,1,1,18,1,55,NA
"2024-2025","03/15/2025","Hawaii","Big West","Southern California","L 1-3",4,NA,63,23,132,0.303,62,6,14,40,7,NA,11,1,74.5,NA
"2024-2025","03/28/2025","Hawaii","Big West","UC San Diego","W 3-0",3,NA,44,14,92,0.326,40,6,13,33,1,1,12,3,57,NA
"2024-2025","03/29/2025","Hawaii","Big West","UC San Diego","W 3-1",4,NA,56,15,105,0.39,50,3,18,28,8,2,14,4,68,NA
"2024-2025","04/04/2025","Hawaii","Big West","@ CSUN","L 0-3",3,NA,30,16,64,0.219,28,1,10,18,3,NA,6,NA,34,NA
"2024-2025","04/05/2025","Hawaii","Big West","@ CSUN","W 3-0",3,NA,42,16,76,0.342,35,8,20,18,3,NA,12,2,56,NA
"2024-2025","04/11/2025","Hawaii","Big West","Long Beach St.","L 1-3",4,NA,51,19,109,0.294,51,3,17,33,6,2,7,NA,59.5,NA
"2024-2025","04/12/2025","Hawaii","Big West","Long Beach St.","W 3-2",5,NA,54,22,111,0.288,48,2,17,27,5,5,11,4,66.5,NA
"2024-2025","04/18/2025","Hawaii","Big West","@ UC Santa Barbara","W 3-1",4,NA,50,21,117,0.248,46,8,13,35,4,4,13,4,68.5,NA
