"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","TB","PTS","BHE"
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",15,"Payton Hielscher","S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",2,"Silvia Ianeselli","OH",4,0,11,8,48,0.063,0,2,0,7,1,1,1,0,1.5,14.5,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",9,"Katrina Jensen","OH",4,0,0,3,11,-0.273,0,0,0,3,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",5,"Sophia Lambros","S",4,0,0,0,3,0,22,4,1,4,0,0,1,0,0.5,4.5,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",3,"Gabby McCaa","MB",4,0,2,1,10,0.1,0,0,0,0,1,0,2,0,1,3,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",4,"Anna Murphy","L",4,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",8,"Clare Naughton","OH",4,0,13,5,32,0.25,0,1,2,19,0,0,1,0,0.5,14.5,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",1,"Grace Penn","S",4,0,0,0,0,0,18,1,1,6,0,0,0,0,0,1,1
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",14,"Amaka Chukwujekwu","MB",4,0,8,2,16,0.375,0,0,0,3,0,0,5,0,2.5,10.5,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",12,"Izzy Clavenna","OH",3,0,3,2,11,0.091,0,0,0,2,0,0,0,0,0,3,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",16,"Annie Cornay","MB",4,0,6,6,28,0,0,1,0,0,0,1,4,0,3,10,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",7,"Mackenzie Fuhrmann","OH",3,0,3,1,5,0.4,0,0,0,1,0,0,2,0,1,4,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",18,"Bridget Green","L",4,0,0,0,0,0,5,1,0,6,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",2,"Silvia Ianeselli","OH",3,0,2,0,10,0.2,0,0,0,2,0,0,0,0,0,2,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",9,"Katrina Jensen","OH",4,0,2,2,10,0,0,0,0,0,0,0,1,0,0.5,2.5,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",5,"Sophia Lambros","S",4,0,1,1,3,0,19,1,0,9,0,2,1,0,2.5,4.5,1
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",3,"Gabby McCaa","MB",4,0,6,1,11,0.455,0,0,1,3,0,0,4,0,2,8,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",10,"Peyton Minyard","MB",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.5,1.5,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",4,"Anna Murphy","L",4,0,0,0,0,0,1,2,1,18,0,0,0,0,0,2,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",8,"Clare Naughton","OH",4,0,12,2,30,0.333,1,0,1,9,1,0,2,0,1,13,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",1,"Grace Penn","S",4,0,0,0,1,0,15,1,0,5,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-02-13,"Boston College","ACC","Northeastern","CAA","Home",20,"Jewel Strawberry","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,4,1,7,0.429,0,0,0,2,0,0,2,0,1,5,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",12,"Izzy Clavenna","OH",2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",16,"Annie Cornay","MB",2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",7,"Mackenzie Fuhrmann","OH",3,0,0,2,5,-0.4,1,0,0,2,0,0,2,1,2,1,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",18,"Bridget Green","L",3,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",15,"Payton Hielscher","S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",2,"Silvia Ianeselli","OH",3,0,2,0,3,0.667,0,0,0,0,0,0,0,0,0,2,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",9,"Katrina Jensen","OH",3,0,4,4,20,0,0,0,0,1,0,0,0,1,1,4,1
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",5,"Sophia Lambros","S",3,0,0,0,1,0,8,1,0,4,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",3,"Gabby McCaa","MB",3,0,6,5,15,0.067,0,0,0,0,0,0,0,0,0,6,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",10,"Peyton Minyard","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",4,"Anna Murphy","L",3,0,0,0,0,0,2,0,0,6,3,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",8,"Clare Naughton","OH",3,0,7,2,20,0.25,0,1,1,3,5,0,0,0,0,8,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",1,"Grace Penn","S",3,0,0,0,4,0,12,0,1,5,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-12,"Boston College","ACC","Georgia Tech","ACC","Away",20,"Jewel Strawberry","OH",1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,4,4,14,0,0,0,0,2,0,0,2,0,1,5,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",12,"Izzy Clavenna","OH",3,0,8,1,16,0.438,0,0,0,2,0,0,2,0,1,9,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",16,"Annie Cornay","MB",1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",11,"Alayna Crabtree","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",7,"Mackenzie Fuhrmann","OH",3,0,5,2,12,0.25,0,0,0,2,0,0,2,0,1,6,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",18,"Bridget Green","L",3,0,1,0,1,1,1,0,0,5,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",2,"Silvia Ianeselli","OH",2,0,3,4,14,-0.071,0,0,0,2,0,2,0,0,2,5,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",9,"Katrina Jensen","OH",2,0,5,2,9,0.333,0,0,0,0,0,0,0,0,0,5,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",5,"Sophia Lambros","S",3,0,0,1,1,-1,10,4,1,4,0,0,0,0,0,4,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",3,"Gabby McCaa","MB",3,0,3,2,10,0.1,1,0,0,1,0,0,2,0,1,4,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",10,"Peyton Minyard","MB",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",4,"Anna Murphy","L",3,0,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",8,"Clare Naughton","OH",3,0,4,8,30,-0.133,0,0,1,4,0,0,0,0,0,4,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",1,"Grace Penn","S",3,0,1,1,3,0,18,0,1,1,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-03-20,"Boston College","ACC","Clemson","ACC","Away",20,"Jewel Strawberry","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-03-21,"Boston College","ACC","NC State","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,5,2,9,0.333,0,0,1,1,0,0,1,0,0.5,5.5,0
