"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","TB","PTS","BHE"
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",6,"Torey Baum","L",3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",14,"Amaka Chukwujekwu","MB",3,0,6,2,12,0.333,0,0,0,0,0,1,0,0,1,7,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",12,"Izzy Clavenna","OH",2,0,3,0,6,0.5,0,0,0,0,0,0,0,0,0,3,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",11,"Alayna Crabtree","OH",3,0,1,4,7,-0.429,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",18,"Bridget Green","L",3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",2,"Silvia Ianeselli","OH",3,0,4,1,8,0.375,0,0,0,0,1,0,0,0,0,4,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",9,"Katrina Jensen","OH",3,0,1,2,8,-0.125,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",5,"Sophia Lambros","S",3,0,0,0,2,0,14,1,1,4,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",3,"Gabby McCaa","MB",3,0,4,0,6,0.667,1,0,0,0,0,1,0,0,1,5,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",4,"Anna Murphy","L",2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",8,"Clare Naughton","OH",3,0,7,3,22,0.182,0,0,1,4,1,0,0,0,0,7,0
"Boston College","2020-2021",2020-10-02,"Boston College","ACC","Louisville","ACC","Home",1,"Grace Penn","S",3,0,0,1,3,-0.333,9,0,1,2,0,0,0,0,0,0,2
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",6,"Torey Baum","L",2,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",14,"Amaka Chukwujekwu","MB",4,0,3,2,9,0.111,0,0,0,0,0,0,3,0,1.5,4.5,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",12,"Izzy Clavenna","OH",4,0,5,5,17,0,0,0,0,2,0,1,3,0,2.5,7.5,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",11,"Alayna Crabtree","OH",3,0,4,2,10,0.2,0,0,0,7,0,0,0,0,0,4,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",18,"Bridget Green","L",4,0,1,1,5,0,0,1,0,5,0,0,0,0,0,2,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",15,"Payton Hielscher","S",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",2,"Silvia Ianeselli","OH",3,0,5,3,10,0.2,0,0,0,1,0,0,0,0,0,5,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",9,"Katrina Jensen","OH",3,0,4,4,15,0,0,0,0,0,0,1,1,0,1.5,5.5,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",5,"Sophia Lambros","S",4,0,0,0,2,0,25,0,1,4,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",3,"Gabby McCaa","MB",4,0,7,4,13,0.231,0,0,0,0,0,3,1,0,3.5,10.5,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",10,"Peyton Minyard","MB",2,0,0,1,3,-0.333,0,0,0,0,0,1,0,0,1,1,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",4,"Anna Murphy","L",4,0,0,0,3,0,1,0,0,11,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",8,"Clare Naughton","OH",4,0,16,3,43,0.302,0,0,1,6,1,1,0,0,1,17,0
"Boston College","2020-2021",2020-10-03,"Boston College","ACC","Louisville","ACC","Home",1,"Grace Penn","S",4,0,0,0,7,0,16,1,1,4,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",14,"Amaka Chukwujekwu","MB",4,0,3,3,10,0,0,0,0,1,0,0,7,0,3.5,6.5,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",12,"Izzy Clavenna","OH",4,0,9,2,24,0.292,0,0,0,0,0,0,2,0,1,10,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",11,"Alayna Crabtree","OH",1,0,0,1,3,-0.333,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",18,"Bridget Green","L",4,0,0,1,1,-1,0,1,2,5,3,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",2,"Silvia Ianeselli","OH",4,0,7,5,25,0.08,0,0,0,2,0,0,3,1,2.5,8.5,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",9,"Katrina Jensen","OH",4,0,10,3,27,0.259,1,0,0,1,0,0,3,0,1.5,11.5,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",5,"Sophia Lambros","S",4,0,0,0,2,0,17,1,1,7,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",3,"Gabby McCaa","MB",4,0,1,0,4,0.25,0,0,0,0,0,1,3,0,2.5,3.5,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",4,"Anna Murphy","L",4,0,1,0,1,1,3,2,0,11,3,0,0,0,0,3,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",8,"Clare Naughton","OH",4,0,5,5,27,0,1,1,0,8,2,0,2,0,1,7,0
"Boston College","2020-2021",2020-10-09,"Boston College","ACC","Pittsburgh","ACC","Away",1,"Grace Penn","S",4,0,0,0,0,0,11,0,2,3,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,6,2,10,0.4,0,0,0,0,0,0,1,2,2.5,6.5,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",12,"Izzy Clavenna","OH",3,0,2,0,8,0.25,0,0,0,0,0,0,2,0,1,3,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",11,"Alayna Crabtree","OH",3,0,3,3,12,0,0,0,0,1,0,0,0,0,0,3,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",18,"Bridget Green","L",3,0,0,1,3,-0.333,0,1,2,7,1,0,0,1,1,1,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",2,"Silvia Ianeselli","OH",3,0,5,1,18,0.222,0,0,0,0,0,0,1,0,0.5,5.5,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",9,"Katrina Jensen","OH",3,0,1,4,10,-0.3,0,0,0,0,0,0,1,0,0.5,1.5,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",5,"Sophia Lambros","S",3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",3,"Gabby McCaa","MB",3,0,1,1,4,0,0,0,0,2,0,3,5,1,6.5,6.5,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",10,"Peyton Minyard","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",4,"Anna Murphy","L",3,0,2,0,4,0.5,0,1,0,9,3,0,0,0,0,3,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",8,"Clare Naughton","OH",3,0,8,5,29,0.103,0,0,0,4,1,2,2,0,3,11,0
"Boston College","2020-2021",2020-10-10,"Boston College","ACC","Pittsburgh","ACC","Away",1,"Grace Penn","S",3,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,5,3,14,0.143,0,0,0,2,0,1,2,0,2,7,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",12,"Izzy Clavenna","OH",3,0,5,6,22,-0.045,0,0,0,4,0,0,2,0,1,6,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",16,"Annie Cornay","MB",2,0,0,1,1,-1,0,0,0,0,0,0,0,1,1,0,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",11,"Alayna Crabtree","OH",2,0,1,1,6,0,0,0,1,0,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",18,"Bridget Green","L",3,0,0,0,1,0,0,0,2,5,1,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",15,"Payton Hielscher","S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",2,"Silvia Ianeselli","OH",3,0,3,1,11,0.182,0,0,0,3,0,1,1,0,1.5,4.5,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",9,"Katrina Jensen","OH",3,0,5,3,22,0.091,0,0,0,3,0,2,0,0,2,7,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",5,"Sophia Lambros","S",3,0,0,0,2,0,14,1,1,5,1,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",3,"Gabby McCaa","MB",3,0,2,0,3,0.667,0,0,1,3,0,1,1,3,4.5,3.5,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",4,"Anna Murphy","L",3,0,0,0,3,0,2,0,0,12,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",8,"Clare Naughton","OH",3,0,14,3,46,0.239,0,0,1,10,1,0,0,0,0,14,1
"Boston College","2020-2021",2020-10-16,"Boston College","ACC","Syracuse","ACC","Away",1,"Grace Penn","S",3,0,0,1,3,-0.333,17,1,1,5,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",14,"Amaka Chukwujekwu","MB",3,0,6,5,11,0.091,0,0,0,1,0,0,1,0,0.5,6.5,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",12,"Izzy Clavenna","OH",3,0,2,3,13,-0.077,0,0,0,0,0,1,1,0,1.5,3.5,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",16,"Annie Cornay","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",11,"Alayna Crabtree","OH",3,0,1,1,8,0,0,0,0,0,2,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",18,"Bridget Green","L",3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",15,"Payton Hielscher","S",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",2,"Silvia Ianeselli","OH",3,0,6,4,18,0.111,0,1,0,6,0,0,1,1,1.5,7.5,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",9,"Katrina Jensen","OH",3,0,3,1,6,0.333,0,0,0,0,0,0,0,2,2,3,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",5,"Sophia Lambros","S",3,0,1,0,2,0.5,8,0,0,2,0,0,0,0,0,1,2
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",3,"Gabby McCaa","MB",3,0,3,1,4,0.5,0,0,0,0,0,0,1,1,1.5,3.5,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",10,"Peyton Minyard","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",4,"Anna Murphy","L",3,0,1,0,2,0.5,1,0,0,15,1,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",8,"Clare Naughton","OH",3,0,4,5,31,-0.032,0,0,2,3,2,1,0,0,1,5,0
"Boston College","2020-2021",2020-10-17,"Boston College","ACC","Syracuse","ACC","Away",1,"Grace Penn","S",3,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",14,"Amaka Chukwujekwu","MB",3,0,6,1,9,0.556,0,0,0,4,0,1,1,0,1.5,7.5,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",12,"Izzy Clavenna","OH",3,0,3,2,11,0.091,0,0,0,0,0,0,0,0,0,3,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",11,"Alayna Crabtree","OH",1,0,0,1,1,-1,0,0,0,0,0,0,1,0,0.5,0.5,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",13,"Rachel Grant","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",18,"Bridget Green","L",3,0,0,0,1,0,2,2,1,2,1,0,0,0,0,2,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",2,"Silvia Ianeselli","OH",3,0,7,3,30,0.133,0,1,0,6,1,0,1,0,0.5,8.5,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",9,"Katrina Jensen","OH",3,0,1,3,12,-0.167,0,0,0,1,1,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",5,"Sophia Lambros","S",3,0,0,1,3,-0.333,13,0,1,9,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",3,"Gabby McCaa","MB",3,0,3,0,4,0.75,0,0,0,3,0,1,2,0,2,5,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",10,"Peyton Minyard","MB",2,0,0,0,2,0,0,0,0,1,0,0,1,0,0.5,0.5,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",4,"Anna Murphy","L",3,0,0,0,4,0,1,0,0,12,3,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",8,"Clare Naughton","OH",3,0,10,3,39,0.179,0,1,0,12,0,1,0,0,1,12,0
"Boston College","2020-2021",2020-10-23,"Boston College","ACC","Notre Dame","ACC","Home",1,"Grace Penn","S",3,0,0,0,0,0,11,0,1,3,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",14,"Amaka Chukwujekwu","MB",4,0,13,2,24,0.458,0,0,0,1,0,0,3,0,1.5,14.5,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",12,"Izzy Clavenna","OH",2,0,0,1,7,-0.143,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",16,"Annie Cornay","MB",4,0,1,2,6,-0.167,0,0,0,0,0,0,2,0,1,2,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",11,"Alayna Crabtree","OH",2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2020-2021",2020-10-24,"Boston College","ACC","Notre Dame","ACC","Home",18,"Bridget Green","L",2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
