"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",2,"Johnny Anselmo","L",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",14,"Cole Chea","MB",4,0,7,1,15,0.4,0,0,3,1,0,0,2,0,8,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",6,"Ryan DeWeese","OPP",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",7,"Kyle Hobus","OH",4,0,7,7,24,0,3,1,7,7,0,0,4,0,10,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",5,"Kyle Merchen","S",4,0,0,1,2,-0.5,35,1,3,7,0,0,0,0,1,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",3,"Sean Mitchell","L",3,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",9,"Maciej Ptaszynski","OH",4,0,10,6,32,0.125,0,2,4,3,2,0,4,0,14,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",12,"Griffin Walters","OH",4,0,11,7,31,0.129,1,1,3,5,2,0,2,0,13,0
"CSUN","2021-2022",2021-03-20,"CSUN","Big West","UC Irvine","Big West","Away",10,"Daniel Wetter","MB",4,0,11,2,19,0.474,0,2,1,3,0,0,4,1,15,0
"CSUN","2021-2022",2021-03-21,"CSUN","Big West","UC Irvine","Big West","Home",14,"Cole Chea","MB",4,0,11,3,19,0.421,0,0,1,2,0,0,2,0,12,1
