"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2022-2023","02/11/2023","Hawaii","Big West","@ Stanford","W 3-0",3,NA,38,10,84,0.333,35,6,9,26,2,3,19,3,56.5,NA
"2022-2023","02/16/2023","Hawaii","Big West","CUI","W 3-1",4,NA,62,15,117,0.402,59,4,13,37,1,2,14,1,75,1
"2022-2023","02/17/2023","Hawaii","Big West","CUI","W 3-0",3,NA,45,11,89,0.382,42,3,8,31,4,3,10,NA,56,1
"2022-2023","02/22/2023","Hawaii","Big West","LIU","W 3-0",3,NA,33,10,67,0.343,33,6,7,18,NA,1,19,1,49.5,NA
"2022-2023","02/24/2023","Hawaii","Big West","LIU","W 3-0",3,NA,44,14,74,0.405,41,4,12,26,3,1,15,1,56.5,NA
"2022-2023","03/01/2023","Hawaii","Big West","Pepperdine","W 3-1",4,NA,54,12,100,0.42,50,9,12,34,4,1,14,2,71,NA
"2022-2023","03/03/2023","Hawaii","Big West","Pepperdine","W 3-0",3,NA,40,10,74,0.405,39,6,14,20,1,2,18,NA,57,NA
"2022-2023","03/09/2023","Hawaii","Big West","Purdue Fort Wayne","W 3-0",3,NA,42,8,78,0.436,41,3,8,28,5,NA,15,NA,52.5,NA
"2022-2023","03/10/2023","Hawaii","Big West","Penn St.","L 1-3",4,NA,46,20,104,0.25,43,4,16,35,7,1,8,1,55,NA
"2022-2023","03/11/2023","Hawaii","Big West","UCLA","W 3-1",4,NA,49,19,110,0.273,47,5,15,34,6,NA,19,3,63.5,NA
"2022-2023","03/17/2023","Hawaii","Big West","Long Beach St.","L 0-3",3,NA,43,16,89,0.303,43,5,7,26,4,2,3,1,51.5,NA
"2022-2023","03/18/2023","Hawaii","Big West","Long Beach St.","W 3-0",3,NA,36,6,78,0.385,31,5,11,27,5,1,20,NA,52,NA
"2022-2023","03/24/2023","Hawaii","Big West","@ CSUN","W 3-0",3,NA,39,7,67,0.478,36,5,12,23,1,1,18,1,54,NA
"2022-2023","03/25/2023","Hawaii","Big West","@ CSUN","W 3-0",3,NA,35,6,74,0.392,33,6,15,29,2,4,18,1,54,NA
"2022-2023","03/31/2023","Hawaii","Big West","@ UC Santa Barbara","W 3-0",3,NA,46,9,88,0.42,42,4,13,33,6,1,8,1,55,NA
"2022-2023","04/01/2023","Hawaii","Big West","@ UC Santa Barbara","W 3-0",3,NA,48,10,91,0.418,42,6,18,25,4,2,11,1,61.5,NA
"2022-2023","04/07/2023","Hawaii","Big West","UC Irvine","W 3-1",4,NA,60,9,113,0.451,57,6,13,32,6,3,14,2,76,NA
"2022-2023","04/08/2023","Hawaii","Big West","UC Irvine","W 3-0",3,NA,45,9,85,0.424,40,8,10,17,2,NA,16,1,61,NA
"2022-2023","04/14/2023","Hawaii","Big West","UC San Diego","W 3-1",4,NA,44,16,102,0.275,42,8,9,28,3,3,22,1,66,NA
"2022-2023","04/15/2023","Hawaii","Big West","UC San Diego","W 3-0",3,NA,37,7,80,0.375,30,7,18,18,2,1,22,NA,56,NA
"2022-2023","04/21/2023","Hawaii","Big West","#4 UC Santa Barbara @Irvine, CA (2023 Big West MVB Tournament)","W 3-0",3,NA,38,10,71,0.394,36,4,12,32,4,NA,15,1,49.5,1
"2022-2023","04/22/2023","Hawaii","Big West","@#3 UC Irvine 2023 Big West MVB Tournament","W 3-1",4,NA,53,18,106,0.33,52,6,15,36,4,NA,NA,3,76,NA
"2022-2023","05/04/2023","Hawaii","Big West","Penn St. @Fairfax, VA (2023 NC MVB Championship)","W 3-2",5,NA,56,20,121,0.298,53,3,21,48,12,2,13,NA,67.5,NA
"2022-2023","05/06/2023","Hawaii","Big West","UCLA @Fairfax, VA (2023 NC MVB Championship)","L 1-3",4,NA,56,16,134,0.299,55,3,13,48,10,2,18,NA,70,2
"2022-2023","01/13/2023","Long Beach St.","Big West","King (TN)","W 3-0",3,NA,37,8,55,0.527,34,7,14,17,1,1,11,2,50.5,NA
"2022-2023","01/14/2023","Long Beach St.","Big West","Lindenwood","W 3-0",3,NA,30,10,75,0.267,28,10,12,29,2,2,24,2,54,NA
"2022-2023","01/20/2023","Long Beach St.","Big West","LIU @Fairfax, VA","W 3-0",3,NA,35,7,66,0.424,31,NA,16,27,1,NA,16,NA,56,NA
"2022-2023","01/21/2023","Long Beach St.","Big West","@ George Mason","W 3-0",3,NA,39,3,74,0.486,37,3,12,33,NA,NA,20,NA,52,2
"2022-2023","01/25/2023","Long Beach St.","Big West","@ Penn St.","W 3-1",4,NA,53,23,116,0.259,49,3,22,32,4,3,18,1,68,NA
"2022-2023","02/03/2023","Long Beach St.","Big West","Loyola Chicago","W 3-2",5,NA,70,19,138,0.37,65,4,18,41,5,NA,22,3,85,NA
"2022-2023","02/09/2023","Long Beach St.","Big West","@ UCLA","L 0-3",3,NA,28,16,63,0.19,27,3,9,14,6,NA,9,2,35.5,NA
"2022-2023","02/10/2023","Long Beach St.","Big West","UCLA","L 1-3",4,NA,57,21,108,0.333,55,3,21,27,6,1,15,4,68.5,NA
"2022-2023","02/17/2023","Long Beach St.","Big West","NJIT","W 3-0",3,NA,38,6,76,0.421,34,4,17,27,4,1,25,NA,55.5,NA
"2022-2023","02/18/2023","Long Beach St.","Big West","NJIT","W 3-0",3,NA,37,6,62,0.5,37,5,16,24,1,NA,26,NA,55,NA
"2022-2023","02/24/2023","Long Beach St.","Big West","CUI","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-2023","03/03/2023","Long Beach St.","Big West","Ball St.","W 3-1",4,NA,58,13,114,0.395,54,5,13,40,2,1,14,NA,71,NA
"2022-2023","03/10/2023","Long Beach St.","Big West","@ UC Santa Barbara","W 3-1",4,NA,45,13,94,0.34,43,9,18,38,9,7,20,2,71,NA
"2022-2023","03/11/2023","Long Beach St.","Big West","UC Santa Barbara","W 3-2",5,NA,51,17,138,0.246,45,4,12,43,4,NA,26,NA,68,NA
"2022-2023","03/17/2023","Long Beach St.","Big West","@ Hawaii","W 3-0",3,NA,52,7,93,0.484,50,4,14,23,5,2,11,2,63.5,NA
"2022-2023","03/18/2023","Long Beach St.","Big West","@ Hawaii","L 0-3",3,NA,40,17,93,0.247,38,5,16,26,5,NA,4,4,47,1
"2022-2023","03/24/2023","Long Beach St.","Big West","Southern California","W 3-0",3,NA,31,12,77,0.247,28,7,8,26,2,2,13,NA,46.5,NA
"2022-2023","03/25/2023","Long Beach St.","Big West","@ Southern California","W 3-1",4,NA,50,18,123,0.26,47,7,18,47,5,3,7,NA,63.5,1
"2022-2023","03/31/2023","Long Beach St.","Big West","@ UC San Diego","W 3-0",3,NA,32,11,66,0.318,25,4,15,27,1,2,24,1,50,NA
"2022-2023","04/01/2023","Long Beach St.","Big West","UC San Diego","W 3-0",3,NA,33,2,56,0.554,31,3,15,21,3,NA,30,1,51,NA
"2022-2023","04/07/2023","Long Beach St.","Big West","@ CSUN","W 3-2",5,NA,NA,25,146,0.384,NA,1,20,58,5,1,9,1,NA,NA
"2022-2023","04/08/2023","Long Beach St.","Big West","CSUN","W 3-0",3,NA,38,8,82,0.366,34,8,13,27,1,2,18,3,57,NA
"2022-2023","04/14/2023","Long Beach St.","Big West","UC Irvine","W 3-0",3,NA,32,11,76,0.276,30,7,16,31,3,1,21,1,50.5,NA
"2022-2023","04/15/2023","Long Beach St.","Big West","@ UC Irvine","W 3-2",5,NA,54,13,120,0.342,53,2,21,45,7,3,23,NA,70.5,NA
"2022-2023","04/21/2023","Long Beach St.","Big West","@#3 UC Irvine 2023 Big West MVB Tournament","L 0-3",3,NA,33,19,89,0.157,30,NA,12,22,4,NA,11,NA,38.5,NA
"2022-2023","05/02/2023","Long Beach St.","Big West","Grand Canyon @Fairfax, VA (2023 NC MVB Championship)","W 3-1",4,NA,56,17,115,0.339,53,2,14,41,3,NA,21,1,68.5,NA
"2022-2023","05/04/2023","Long Beach St.","Big West","UCLA @Fairfax, VA (2023 NC MVB Championship)","L 0-3",3,NA,32,13,82,0.232,31,2,8,22,5,1,10,2,40,NA
"2022-2023","01/06/2023","UC Irvine","Big West","Lewis @Provo, UT","W 3-1",4,NA,60,13,114,0.412,59,5,19,30,4,2,10,2,72,1
"2022-2023","01/07/2023","UC Irvine","Big West","McKendree @Provo, UT","W 3-0",3,NA,41,9,81,0.395,40,11,15,30,2,1,7,1,56.5,NA
"2022-2023","01/13/2023","UC Irvine","Big West","Emmanuel (GA)","W 3-0",3,NA,37,8,67,0.433,37,4,9,22,1,NA,18,2,50,NA
"2022-2023","01/18/2023","UC Irvine","Big West","Southern California","W 3-2",5,NA,64,20,146,0.301,62,5,16,57,5,3,12,NA,78,NA
"2022-2023","01/20/2023","UC Irvine","Big West","CUI","W 3-0",3,NA,38,8,74,0.405,35,5,17,22,2,NA,20,2,53,NA
"2022-2023","01/21/2023","UC Irvine","Big West","@ CUI","W 3-0",3,NA,47,5,71,NA,43,3,13,30,3,1,12,1,57,NA
"2022-2023","01/25/2023","UC Irvine","Big West","BYU","W 3-0",3,NA,36,11,73,0.342,35,3,8,27,2,NA,26,1,52,NA
"2022-2023","01/27/2023","UC Irvine","Big West","BYU","L 2-3",5,NA,58,NA,137,0.204,54,10,17,39,3,2,16,3,78,NA
"2022-2023","02/03/2023","UC Irvine","Big West","@ Grand Canyon","L 1-3",4,NA,46,15,95,0.326,40,7,17,16,8,4,2,NA,58,NA
"2022-2023","02/04/2023","UC Irvine","Big West","@ Grand Canyon","L 2-3",5,NA,54,21,114,0.289,50,6,12,40,4,NA,4,NA,72,NA
"2022-2023","02/08/2023","UC Irvine","Big West","@ Pepperdine","W 3-2",5,NA,49,18,116,0.267,47,9,24,31,6,2,28,NA,74,NA
"2022-2023","02/10/2023","UC Irvine","Big West","Pepperdine","W 3-1",4,NA,39,12,93,0.29,39,NA,12,25,3,2,25,NA,66.5,NA
"2022-2023","02/24/2023","UC Irvine","Big West","UCLA","L 1-3",4,NA,40,24,107,0.15,36,9,5,33,10,NA,14,4,56,NA
"2022-2023","02/26/2023","UC Irvine","Big West","@ UCLA","L 1-3",4,NA,50,18,112,0.286,43,6,19,34,4,2,6,NA,61,NA
"2022-2023","03/04/2023","UC Irvine","Big West","@ Stanford","W 3-0",3,NA,40,10,84,0.357,39,9,8,27,3,2,13,NA,57.5,NA
"2022-2023","03/05/2023","UC Irvine","Big West","Penn St.","L 2-3",5,NA,62,28,142,0.239,57,NA,20,NA,6,NA,10,1,80,1
"2022-2023","03/10/2023","UC Irvine","Big West","UC San Diego","W 3-0",3,NA,41,10,78,0.397,40,3,7,26,3,NA,15,1,51.5,NA
"2022-2023","03/11/2023","UC Irvine","Big West","@ UC San Diego","W 3-0",3,NA,44,5,72,0.542,40,8,11,19,NA,1,16,NA,61,NA
"2022-2023","03/16/2023","UC Irvine","Big West","@ UC Santa Barbara","W 3-2",5,NA,60,19,136,0.301,60,NA,22,52,5,2,10,3,80,NA
"2022-2023","03/17/2023","UC Irvine","Big West","UC Santa Barbara","W 3-0",3,NA,41,13,83,0.337,40,5,10,31,6,NA,12,2,52,NA
"2022-2023","03/31/2023","UC Irvine","Big West","CSUN","W 3-0",3,NA,36,15,84,0.25,36,9,11,20,NA,NA,18,3,54,1
"2022-2023","04/01/2023","UC Irvine","Big West","@ CSUN","W 3-0",3,NA,43,12,87,0.356,43,4,13,33,2,3,8,3,54,NA
"2022-2023","04/07/2023","UC Irvine","Big West","@ Hawaii","L 1-3",4,NA,58,14,111,0.396,55,6,12,33,6,1,4,2,67,NA
"2022-2023","04/08/2023","UC Irvine","Big West","@ Hawaii","L 0-3",3,NA,42,14,82,0.341,42,2,9,28,8,NA,7,1,47.5,NA
"2022-2023","04/14/2023","UC Irvine","Big West","@ Long Beach St.","L 0-3",3,NA,29,19,86,0.116,28,3,16,29,7,1,11,1,38.5,NA
"2022-2023","04/15/2023","UC Irvine","Big West","Long Beach St.","L 2-3",5,NA,61,26,145,0.241,61,7,22,44,2,1,15,3,76.5,NA
"2022-2023","04/20/2023","UC Irvine","Big West","#6 CSUN 2023 Big West MVB Tournament","W 3-0",3,NA,41,11,74,0.405,41,8,14,25,3,NA,8,1,53,1
"2022-2023","04/21/2023","UC Irvine","Big West","#2 Long Beach St. 2023 Big West MVB Tournament","W 3-0",3,NA,39,12,82,0.329,38,4,12,29,NA,2,21,NA,55.5,1
"2022-2023","04/22/2023","UC Irvine","Big West","#1 Hawaii 2023 Big West MVB Tournament","L 1-3",4,NA,41,24,106,0.16,39,4,13,29,6,1,22,1,57,NA
"2022-2023","01/05/2023","UC San Diego","Big West","Lincoln Memorial @Santa Barbara, CA","W 3-2",5,NA,53,23,120,0.25,50,5,23,37,4,NA,8,2,62,NA
"2022-2023","01/06/2023","UC San Diego","Big West","UCLA @Santa Barbara, CA","L 0-3",3,NA,23,16,58,0.121,21,2,13,18,NA,NA,4,1,27,1
"2022-2023","01/07/2023","UC San Diego","Big West","Southern California @Santa Barbara, CA","L 2-3",5,NA,58,18,116,0.345,56,7,20,44,8,NA,6,1,68,1
"2022-2023","01/13/2023","UC San Diego","Big West","@ Loyola Chicago","L 0-3",3,NA,38,15,82,0.28,33,4,9,28,9,NA,8,NA,46,NA
"2022-2023","01/14/2023","UC San Diego","Big West","@ Lewis","L 1-3",4,NA,47,22,115,0.217,43,4,20,30,5,2,16,NA,61,NA
"2022-2023","01/17/2023","UC San Diego","Big West","Emmanuel (GA)","W 3-0",3,NA,44,15,75,0.387,42,4,17,25,2,NA,22,NA,59,NA
"2022-2023","01/18/2023","UC San Diego","Big West","Menlo","W 3-0",3,NA,41,9,72,0.444,37,4,14,26,2,1,14,NA,53,1
"2022-2023","01/21/2023","UC San Diego","Big West","@ UCLA","L 0-3",3,NA,35,15,89,0.225,30,1,10,26,4,NA,9,2,40.5,NA
"2022-2023","01/28/2023","UC San Diego","Big West","Erskine @Phoenix, AZ","W 3-0",3,NA,43,9,74,0.459,34,11,18,24,2,2,2,NA,57,NA
"2022-2023","01/29/2023","UC San Diego","Big West","@ Grand Canyon","L 0-3",3,NA,31,16,83,0.181,28,3,22,21,4,4,NA,NA,38,NA
"2022-2023","02/03/2023","UC San Diego","Big West","Ottawa (AZ)","W 3-0",3,NA,40,8,71,0.451,40,7,15,24,NA,2,8,NA,53,NA
"2022-2023","02/10/2023","UC San Diego","Big West","Southern California","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-2023","02/14/2023","UC San Diego","Big West","Westcliff","W 3-0",3,NA,35,11,69,0.348,33,9,14,26,2,3,20,NA,57,1
"2022-2023","02/17/2023","UC San Diego","Big West","CUI","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-2023","02/21/2023","UC San Diego","Big West","@ CUI","L 1-3",4,NA,52,23,120,0.242,50,NA,19,29,7,3,8,NA,59,NA
"2022-2023","02/24/2023","UC San Diego","Big West","CSUN","L 1-3",4,NA,48,NA,123,0.146,45,3,16,39,7,2,17,2,61.5,NA
"2022-2023","03/03/2023","UC San Diego","Big West","@ UC Santa Barbara","L 1-3",4,NA,51,23,118,0.237,48,6,22,42,6,3,10,3,65,3
"2022-2023","03/05/2023","UC San Diego","Big West","Ball St.","L 2-3",5,NA,62,25,136,0.272,58,4,20,37,6,1,3,NA,68.5,NA
"2022-2023","03/10/2023","UC San Diego","Big West","@ UC Irvine","L 0-3",3,NA,36,21,95,0.158,33,3,10,21,3,NA,12,NA,45,NA
"2022-2023","03/11/2023","UC San Diego","Big West","UC Irvine","L 0-3",3,NA,31,15,70,0.229,31,NA,8,19,8,NA,2,NA,32,NA
"2022-2023","03/16/2023","UC San Diego","Big West","@ CSUN","W 3-0",3,NA,33,12,80,0.263,31,3,10,31,1,2,17,3,46.5,NA
"2022-2023","03/31/2023","UC San Diego","Big West","Long Beach St.","L 0-3",3,NA,24,26,85,-0.024,24,1,11,25,4,NA,4,NA,27,NA
"2022-2023","04/01/2023","UC San Diego","Big West","@ Long Beach St.","L 0-3",3,NA,25,28,79,-0.038,25,3,10,18,3,1,NA,2,29,NA
"2022-2023","04/07/2023","UC San Diego","Big West","UC Santa Barbara","W 3-2",5,NA,58,24,137,0.248,54,4,14,43,4,3,16,NA,73,NA
"2022-2023","04/14/2023","UC San Diego","Big West","@ Hawaii","L 1-3",4,NA,54,24,117,0.256,50,3,19,34,8,2,16,NA,67,1
"2022-2023","04/15/2023","UC San Diego","Big West","@ Hawaii","L 0-3",3,NA,35,17,82,0.22,35,2,13,29,7,2,NA,1,39,1
"2022-2023","04/20/2023","UC San Diego","Big West","#4 UC Santa Barbara @Irvine, CA (2023 Big West MVB Tournament)","L 2-3",5,NA,55,21,120,0.283,54,4,24,47,4,2,9,1,65.5,NA
"2022-2023","01/05/2023","UC Santa Barbara","Big West","Southern California","W 3-1",4,NA,46,12,95,0.358,45,3,16,38,4,NA,4,2,51,1
"2022-2023","01/06/2023","UC Santa Barbara","Big West","Lincoln Memorial","L 2-3",5,NA,61,19,129,0.326,58,2,16,40,5,2,11,4,70.5,3
"2022-2023","01/07/2023","UC Santa Barbara","Big West","UCLA","L 0-3",3,NA,24,18,73,0.082,22,3,16,19,6,1,NA,2,28,NA
"2022-2023","01/13/2023","UC Santa Barbara","Big West","@ Stanford","L 0-3",3,NA,29,19,80,0.125,29,2,17,18,1,NA,6,1,34,1
"2022-2023","01/14/2023","UC Santa Barbara","Big West","@ Stanford","L 2-3",5,NA,66,22,148,0.297,60,3,27,47,4,NA,19,1,78.5,NA
"2022-2023","01/19/2023","UC Santa Barbara","Big West","@ Southern California","L 2-3",5,NA,53,20,149,0.221,51,3,23,49,3,1,19,3,66.5,NA
"2022-2023","01/20/2023","UC Santa Barbara","Big West","@ UCLA","L 0-3",3,NA,33,16,114,0.149,31,4,17,38,2,2,8,NA,43,1
"2022-2023","02/01/2023","UC Santa Barbara","Big West","@ Pepperdine","L 0-3",3,NA,40,15,85,0.294,38,1,11,33,1,1,8,1,46,NA
"2022-2023","02/03/2023","UC Santa Barbara","Big West","Pepperdine","W 3-2",5,NA,56,11,112,0.402,52,7,17,34,5,1,16,3,72,1
"2022-2023","02/10/2023","UC Santa Barbara","Big West","@ BYU","L 1-3",4,NA,49,20,115,0.252,48,2,23,39,5,1,8,3,56,NA
"2022-2023","02/11/2023","UC Santa Barbara","Big West","@ BYU","L 1-3",4,NA,38,13,96,0.26,37,2,20,38,4,NA,13,NA,46.5,2
"2022-2023","03/01/2023","UC Santa Barbara","Big West","Vanguard","W 3-1",4,NA,53,26,129,0.209,50,9,15,51,5,NA,9,1,66.5,NA
"2022-2023","03/03/2023","UC Santa Barbara","Big West","UC San Diego","W 3-1",4,NA,41,20,118,0.178,40,6,16,37,6,1,17,1,56.5,1
"2022-2023","03/10/2023","UC Santa Barbara","Big West","Long Beach St.","L 1-3",4,NA,43,24,117,0.162,41,9,19,27,9,NA,4,2,54,NA
"2022-2023","03/11/2023","UC Santa Barbara","Big West","@ Long Beach St.","L 2-3",5,NA,65,23,152,0.276,64,4,28,56,4,1,12,3,76,1
"2022-2023","03/14/2023","UC Santa Barbara","Big West","Harvard","W 3-0",3,NA,36,10,70,0.371,34,6,14,22,7,3,6,NA,48,1
"2022-2023","03/16/2023","UC Santa Barbara","Big West","UC Irvine","L 2-3",5,NA,40,19,120,0.175,40,5,15,46,13,NA,6,3,48,2
"2022-2023","03/17/2023","UC Santa Barbara","Big West","@ UC Irvine","L 0-3",3,NA,36,14,92,0.239,35,6,15,24,5,NA,16,NA,50,NA
"2022-2023","03/31/2023","UC Santa Barbara","Big West","Hawaii","L 0-3",3,NA,42,15,99,0.273,42,6,14,32,4,1,6,1,52,NA
"2022-2023","04/01/2023","UC Santa Barbara","Big West","Hawaii","L 0-3",3,NA,35,11,78,0.308,35,4,10,27,6,1,2,3,41,NA
"2022-2023","04/07/2023","UC Santa Barbara","Big West","@ UC San Diego","L 2-3",5,NA,53,26,134,0.201,52,4,16,39,4,3,16,NA,68,NA
"2022-2023","04/14/2023","UC Santa Barbara","Big West","@ CSUN","W 3-0",3,NA,36,13,83,0.277,35,4,15,23,3,1,14,NA,48,NA
"2022-2023","04/15/2023","UC Santa Barbara","Big West","CSUN","W 3-1",4,NA,52,16,121,0.298,48,9,22,44,3,1,10,2,67,1
"2022-2023","04/20/2023","UC Santa Barbara","Big West","#5 UC San Diego @Irvine, CA (2023 Big West MVB Tournament)","W 3-2",5,NA,58,12,132,0.348,57,4,NA,34,4,1,19,2,72.5,NA
"2022-2023","04/21/2023","UC Santa Barbara","Big West","#1 Hawaii @Irvine, CA (2023 Big West MVB Tournament)","L 0-3",3,NA,28,19,80,0.113,26,4,14,19,4,NA,14,2,39,NA
"2022-2023","01/13/2023","Barton","Conference Carolinas","@ Tusculum","L 2-3",5,NA,52,19,130,0.254,50,3,12,40,8,7,8,1,66,NA
"2022-2023","01/14/2023","Barton","Conference Carolinas","@ Lincoln Memorial","L 0-3",3,NA,25,17,86,0.093,24,NA,10,22,6,2,8,NA,31,NA
"2022-2023","01/20/2023","Barton","Conference Carolinas","Randolph-Macon","L 1-3",4,NA,31,26,120,0.042,30,1,12,42,5,5,6,NA,40,NA
"2022-2023","01/21/2023","Barton","Conference Carolinas","Merrimack","L 1-3",4,NA,38,24,120,0.117,34,2,9,50,4,3,NA,NA,43,NA
"2022-2023","01/28/2023","Barton","Conference Carolinas","Hawaii","L 0-3",3,NA,24,22,86,0.023,23,4,10,19,3,1,6,NA,32,NA
"2022-2023","02/04/2023","Barton","Conference Carolinas","Queens (NC)","L 1-3",4,NA,43,26,147,0.116,41,4,9,40,6,5,2,4,53,NA
"2022-2023","02/10/2023","Barton","Conference Carolinas","@ North Greenville","L 0-3",3,NA,25,19,62,0.097,23,1,5,18,7,2,4,3,30,NA
"2022-2023","02/11/2023","Barton","Conference Carolinas","@ Belmont Abbey","L 1-3",4,NA,48,27,111,0.189,45,2,7,34,9,1,14,1,58,1
