"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2022-2023","01/05/2023","CSUN","Big West","UCLA @Santa Barbara, CA","L 0-3",3,NA,25,19,70,0.086,24,7,12,17,8,2,2,NA,35,1
"2022-2023","01/06/2023","CSUN","Big West","Southern California @Santa Barbara, CA","L 0-3",3,NA,31,22,81,0.111,30,2,18,21,3,3,12,1,42,3
"2022-2023","01/07/2023","CSUN","Big West","Lincoln Memorial @Santa Barbara, CA","W 3-0",3,NA,36,7,64,0.453,34,8,21,14,6,1,13,2,51.5,1
"2022-2023","01/13/2023","CSUN","Big West","Cal Lutheran","W 3-0",3,NA,41,7,72,0.472,39,7,16,22,NA,5,9,1,57.5,1
"2022-2023","01/18/2023","CSUN","Big West","Master's","W 3-1",4,NA,41,24,111,0.153,38,6,17,35,2,2,10,2,54,2
"2022-2023","01/20/2023","CSUN","Big West","Menlo","W 3-0",3,NA,43,6,80,0.463,38,4,18,23,5,3,5,3,52.5,NA
"2022-2023","01/25/2023","CSUN","Big West","Southern California","L 1-3",4,NA,44,16,100,0.28,39,3,25,24,9,1,10,4,53,NA
"2022-2023","01/27/2023","CSUN","Big West","UCLA","L 0-3",3,NA,32,8,67,0.358,32,3,15,13,6,NA,2,1,36,1
"2022-2023","02/01/2023","CSUN","Big West","Vanguard","L 0-3",3,NA,30,16,71,0.197,30,3,10,17,4,2,5,NA,37.5,NA
"2022-2023","02/03/2023","CSUN","Big West","Stanford","W 3-2",5,NA,64,22,NA,0.273,63,6,17,NA,7,NA,12,NA,76,1
"2022-2023","02/08/2023","CSUN","Big West","@ Princeton","W 3-2",5,NA,58,28,133,0.226,54,3,25,36,12,4,21,3,75.5,NA
"2022-2023","02/10/2023","CSUN","Big West","@ NJIT","W 3-2",5,NA,59,22,122,0.303,57,5,29,39,5,1,9,NA,69.5,NA
"2022-2023","02/11/2023","CSUN","Big West","@ FDU","W 3-0",3,NA,32,9,56,0.411,29,6,15,11,1,NA,14,NA,45,NA
"2022-2023","02/16/2023","CSUN","Big West","Benedictine (IL)","W 3-0",3,NA,38,17,74,0.284,35,5,16,16,2,3,7,2,49.5,NA
"2022-2023","02/22/2023","CSUN","Big West","Westcliff","W 3-0",3,NA,42,10,69,0.464,41,4,19,17,2,NA,8,NA,50,NA
"2022-2023","02/24/2023","CSUN","Big West","@ UC San Diego","W 3-1",4,NA,45,19,108,0.241,40,7,17,34,3,2,20,1,64,NA
"2022-2023","03/03/2023","CSUN","Big West","@ Stanford","W 3-0",3,NA,42,5,78,0.474,40,3,18,34,4,NA,9,4,49.5,NA
"2022-2023","03/16/2023","CSUN","Big West","UC San Diego","L 0-3",3,NA,39,19,95,0.211,38,1,18,24,3,NA,11,1,45.5,1
"2022-2023","03/18/2023","CSUN","Big West","Daemen","L 2-3",5,NA,63,22,132,0.311,61,2,19,41,4,1,19,2,75.5,2
"2022-2023","03/24/2023","CSUN","Big West","Hawaii","L 0-3",3,NA,34,16,81,0.222,33,1,13,20,5,1,7,2,39.5,NA
"2022-2023","03/25/2023","CSUN","Big West","Hawaii","L 0-3",3,NA,27,20,82,0.085,25,2,14,24,6,2,2,NA,32,NA
"2022-2023","03/31/2023","CSUN","Big West","@ UC Irvine","L 0-3",3,NA,31,16,73,0.205,31,NA,13,25,9,1,12,3,38,NA
"2022-2023","04/01/2023","CSUN","Big West","UC Irvine","L 0-3",3,NA,40,13,89,0.303,37,2,17,24,4,2,9,1,48.5,NA
"2022-2023","04/07/2023","CSUN","Big West","Long Beach St.","L 2-3",5,NA,47,16,130,0.238,45,5,14,28,1,2,22,3,65,NA
"2022-2023","04/08/2023","CSUN","Big West","@ Long Beach St.","L 0-3",3,NA,31,17,81,0.173,28,1,12,30,8,NA,5,NA,34.5,NA
"2022-2023","04/14/2023","CSUN","Big West","UC Santa Barbara","L 0-3",3,NA,33,22,87,0.126,30,3,13,29,4,1,15,1,44.5,NA
"2022-2023","04/15/2023","CSUN","Big West","@ UC Santa Barbara","L 1-3",4,NA,47,15,113,0.283,43,3,18,41,9,2,14,3,59,3
"2022-2023","04/20/2023","CSUN","Big West","@#3 UC Irvine 2023 Big West MVB Tournament","L 0-3",3,NA,31,11,73,0.274,28,3,14,19,8,NA,9,1,38.5,1
"2022-2023","01/12/2023","Hawaii","Big West","Ball St.","W 3-1",4,NA,55,14,102,0.402,50,7,15,29,1,NA,11,2,67.5,NA
"2022-2023","01/13/2023","Hawaii","Big West","Ball St.","W 3-1",4,NA,59,16,98,0.439,56,8,23,36,3,3,4,NA,72,NA
"2022-2023","01/18/2023","Hawaii","Big West","Saint Francis","W 3-0",3,NA,38,14,74,0.324,37,8,5,24,3,NA,8,1,50,1
"2022-2023","01/20/2023","Hawaii","Big West","Saint Francis","W 3-0",3,NA,44,12,94,0.34,42,9,12,34,3,1,2,1,55,NA
"2022-2023","01/25/2023","Hawaii","Big West","@ Queens (NC)","W 3-0",3,NA,41,16,83,0.301,39,7,10,27,1,1,11,NA,54.5,NA
"2022-2023","01/26/2023","Hawaii","Big West","@ Belmont Abbey","W 3-0",3,NA,35,13,74,0.297,33,3,16,28,2,1,15,3,46.5,NA
"2022-2023","01/28/2023","Hawaii","Big West","@ Barton","W 3-0",3,NA,39,9,70,0.429,38,3,7,33,4,1,16,NA,51,NA
"2022-2023","02/10/2023","Hawaii","Big West","@ Stanford","W 3-0",3,NA,40,7,75,0.44,40,5,15,25,3,NA,17,NA,53.5,1
