"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2020-2021","03/20/2021","CSUN","Big West","@ UC Irvine","L 1-3",4,NA,46,24,123,0.179,41,7,21,32,7,NA,16,1,61,NA
"2020-2021","03/21/2021","CSUN","Big West","UC Irvine","W 3-1",4,NA,56,12,112,0.393,50,8,15,31,1,1,6,NA,68,1
"2020-2021","03/26/2021","CSUN","Big West","UC Santa Barbara","L 0-3",3,NA,28,16,84,0.143,28,5,8,25,1,NA,2,NA,34,1
"2020-2021","03/27/2021","CSUN","Big West","@ UC Santa Barbara","L 0-3",3,NA,28,14,92,0.152,24,4,11,19,2,NA,12,2,38,NA
"2020-2021","04/02/2021","CSUN","Big West","UC San Diego","L 0-3",3,NA,29,23,83,0.072,28,4,17,21,4,1,2,NA,35,1
"2020-2021","04/03/2021","CSUN","Big West","@ UC San Diego","L 2-3",5,NA,68,16,133,0.391,62,8,NA,40,6,4,9,NA,84.5,1
"2020-2021","04/09/2021","CSUN","Big West","Hawaii","L 1-3",4,NA,45,22,104,0.221,39,3,16,20,3,2,13,2,56.5,NA
"2020-2021","04/10/2021","CSUN","Big West","Hawaii","L 0-3",3,NA,35,16,83,0.229,33,4,10,23,3,NA,9,2,43.5,NA
"2020-2021","04/16/2021","CSUN","Big West","Long Beach St.","W 3-2",5,NA,58,26,141,0.227,53,3,13,44,7,3,14,NA,71,NA
"2020-2021","04/17/2021","CSUN","Big West","@ Long Beach St.","L 0-3",3,NA,25,13,84,0.143,22,3,15,25,9,1,3,1,30.5,NA
"2020-2021","04/22/2021","CSUN","Big West","#4 UC San Diego @Honolulu, HI (2021 Big West MVB Tournament)","L 1-3",4,NA,47,18,127,0.228,45,5,12,49,9,NA,15,1,59.5,NA
"2020-2021","02/21/2021","Hawaii","Big West","@ UC Irvine","W 3-1",4,NA,53,12,102,0.402,46,10,9,27,6,NA,14,NA,70,1
"2020-2021","02/22/2021","Hawaii","Big West","@ UC Irvine","W 3-0",3,NA,44,10,73,0.466,41,3,7,28,2,2,16,1,57,2
"2020-2021","02/24/2021","Hawaii","Big West","@ UC San Diego","W 3-0",3,NA,41,10,78,0.397,25,5,11,18,1,4,14,NA,57,NA
"2020-2021","02/25/2021","Hawaii","Big West","@ UC San Diego","W 3-0",3,NA,37,11,86,0.302,34,8,9,23,NA,2,18,1,56,NA
"2020-2021","03/11/2021","Hawaii","Big West","@ UC Santa Barbara","W 3-1",4,NA,52,15,115,0.322,47,2,17,44,2,5,19,1,68.5,NA
"2020-2021","03/12/2021","Hawaii","Big West","@ UC Santa Barbara","W 3-0",3,NA,46,13,85,0.388,44,3,12,35,1,1,12,1,56,NA
"2020-2021","03/13/2021","Hawaii","Big West","@ UC Santa Barbara","W 3-0",3,NA,49,12,89,0.416,45,6,6,26,4,1,12,NA,62,NA
"2020-2021","03/26/2021","Hawaii","Big West","UC San Diego","W 3-1",4,NA,51,19,102,0.314,51,7,17,33,3,2,21,1,70.5,NA
"2020-2021","03/27/2021","Hawaii","Big West","UC San Diego","W 3-0",3,NA,48,9,87,0.448,45,1,9,32,3,1,12,2,56,NA
"2020-2021","04/02/2021","Hawaii","Big West","Long Beach St.","W 3-1",4,NA,52,22,113,0.265,49,6,12,37,2,4,23,NA,73.5,NA
"2020-2021","04/03/2021","Hawaii","Big West","Long Beach St.","W 3-2",5,NA,NA,20,132,0.371,NA,4,12,46,5,4,20,2,87,NA
"2020-2021","04/09/2021","Hawaii","Big West","@ CSUN","W 3-1",4,NA,57,15,98,0.429,49,3,18,30,3,3,22,NA,74,NA
"2020-2021","04/10/2021","Hawaii","Big West","@ CSUN","W 3-0",3,NA,45,12,86,0.384,41,3,10,27,4,NA,11,NA,53.5,NA
"2020-2021","04/16/2021","Hawaii","Big West","UC Irvine","W 3-2",5,NA,65,21,119,0.37,60,5,16,33,4,2,6,1,75,NA
"2020-2021","04/17/2021","Hawaii","Big West","UC Irvine","W 3-0",3,NA,39,9,78,0.385,36,10,7,25,1,2,13,2,57.5,NA
"2020-2021","04/23/2021","Hawaii","Big West","#4 UC San Diego 2021 Big West MVB Tournament","L 2-3",5,NA,64,25,139,0.281,59,NA,13,50,10,4,9,3,83.5,NA
"2020-2021","05/06/2021","Hawaii","Big West","UC Santa Barbara @Columbus, OH (2021 NCAA National Collegiate MVB Championship)","W 3-0",3,NA,39,13,99,0.263,37,6,11,36,1,4,19,4,58.5,1
"2020-2021","05/08/2021","Hawaii","Big West","#2 BYU @Columbus, OH (2021 NCAA National Collegiate MVB Championship)","W 3-0",3,NA,41,9,84,0.381,40,10,11,26,2,NA,11,1,56.5,NA
