"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2020-2021","03/20/2021","Long Beach St.","Big West","@ UC Santa Barbara","L 1-3",4,NA,43,27,125,0.128,39,4,17,38,3,4,13,5,57.5,NA
"2020-2021","03/21/2021","Long Beach St.","Big West","UC Santa Barbara","W 3-1",4,NA,66,17,142,0.345,62,3,17,NA,4,NA,13,2,81.5,NA
"2020-2021","03/26/2021","Long Beach St.","Big West","UC Irvine","W 3-1",4,NA,52,12,111,0.36,48,6,14,32,1,1,23,3,70.5,1
"2020-2021","03/27/2021","Long Beach St.","Big West","@ UC Irvine","W 3-2",5,NA,63,20,139,0.309,59,7,20,52,5,NA,24,2,82,NA
"2020-2021","04/02/2021","Long Beach St.","Big West","@ Hawaii","L 1-3",4,NA,38,30,111,0.072,37,2,11,32,6,1,12,2,47,NA
"2020-2021","04/03/2021","Long Beach St.","Big West","@ Hawaii","L 2-3",5,NA,NA,22,NA,0.307,64,5,17,32,4,1,32,3,NA,1
"2020-2021","04/09/2021","Long Beach St.","Big West","@ UC San Diego","W 3-0",3,NA,46,9,88,0.42,41,6,13,26,4,2,11,2,59.5,NA
"2020-2021","04/10/2021","Long Beach St.","Big West","UC San Diego","W 3-0",3,NA,34,11,75,0.307,29,7,16,20,5,1,16,2,50,NA
"2020-2021","04/16/2021","Long Beach St.","Big West","@ CSUN","L 2-3",5,NA,64,27,143,0.259,60,7,23,41,3,2,NA,NA,89.5,NA
"2020-2021","04/17/2021","Long Beach St.","Big West","CSUN","W 3-0",3,NA,38,13,79,0.316,34,9,22,33,3,NA,12,NA,53,NA
"2020-2021","04/22/2021","Long Beach St.","Big West","#6 UC Irvine @Honolulu, HI (2021 Big West MVB Tournament)","W 3-0",3,NA,49,11,88,0.432,48,7,19,28,1,NA,15,2,63.5,1
"2020-2021","04/23/2021","Long Beach St.","Big West","#2 UC Santa Barbara @Honolulu, HI (2021 Big West MVB Tournament)","L 1-3",4,NA,44,20,117,0.205,44,4,19,36,4,NA,18,1,57,NA
"2020-2021","02/21/2021","UC Irvine","Big West","Hawaii","L 1-3",4,NA,43,20,101,0.228,40,6,11,24,10,1,15,NA,57.5,2
"2020-2021","02/22/2021","UC Irvine","Big West","Hawaii","L 0-3",3,NA,32,20,87,0.138,29,2,10,18,3,NA,13,NA,40.5,1
"2020-2021","03/07/2021(1)","UC Irvine","Big West","@ UC Santa Barbara","L 0-3",3,NA,39,16,86,0.267,36,3,8,27,3,2,4,2,46,2
"2020-2021","03/07/2021(2)","UC Irvine","Big West","@ UC Santa Barbara","L 1-3",4,NA,49,16,106,0.311,44,7,15,25,9,3,4,1,61,NA
"2020-2021","03/11/2021","UC Irvine","Big West","UC San Diego","W 3-2",5,NA,60,17,135,0.319,57,6,23,41,8,2,NA,1,84.5,2
"2020-2021","03/12/2021","UC Irvine","Big West","@ UC San Diego","L 2-3",5,NA,65,24,142,0.289,58,4,NA,50,4,1,6,1,73,NA
"2020-2021","03/20/2021","UC Irvine","Big West","CSUN","W 3-1",4,NA,44,14,100,0.3,41,7,13,41,7,1,18,NA,61,1
"2020-2021","03/21/2021","UC Irvine","Big West","@ CSUN","L 1-3",4,NA,43,12,103,0.301,40,1,18,23,8,3,4,NA,49,1
"2020-2021","03/26/2021","UC Irvine","Big West","@ Long Beach St.","L 1-3",4,NA,47,26,110,0.191,43,1,11,28,6,1,10,1,54,1
"2020-2021","03/27/2021","UC Irvine","Big West","Long Beach St.","L 2-3",5,NA,54,28,142,0.183,48,5,12,46,7,3,10,3,67,NA
"2020-2021","03/31/2021","UC Irvine","Big West","@ UC Santa Barbara","L 1-3",4,NA,51,20,109,0.284,51,1,14,27,2,1,16,5,61,1
"2020-2021","04/02/2021","UC Irvine","Big West","UC Santa Barbara","L 0-3",3,NA,33,20,95,0.137,33,3,8,28,4,NA,10,NA,41,NA
"2020-2021","04/03/2021","UC Irvine","Big West","UC Santa Barbara","L 0-3",3,NA,32,13,93,0.204,31,3,13,34,9,NA,12,NA,41,2
"2020-2021","04/16/2021","UC Irvine","Big West","@ Hawaii","L 2-3",5,NA,68,18,120,0.417,65,4,24,28,5,2,10,2,79,NA
"2020-2021","04/17/2021","UC Irvine","Big West","@ Hawaii","L 0-3",3,NA,31,19,81,0.148,29,1,6,23,10,1,8,1,37,1
"2020-2021","04/22/2021","UC Irvine","Big West","#3 Long Beach St. @Honolulu, HI (2021 Big West MVB Tournament)","L 0-3",3,NA,30,12,75,0.24,29,1,7,18,7,2,4,3,35,NA
"2020-2021","02/24/2021","UC San Diego","Big West","Hawaii","L 0-3",3,NA,38,17,79,0.266,22,1,11,24,5,1,5,NA,42.5,NA
"2020-2021","02/25/2021","UC San Diego","Big West","Hawaii","L 0-3",3,NA,38,15,85,0.271,35,NA,13,28,8,NA,8,1,42,1
"2020-2021","03/03/2021","UC San Diego","Big West","@ UC Santa Barbara","L 1-3",4,NA,52,23,136,0.213,51,2,11,45,4,2,4,NA,58,1
"2020-2021","03/04/2021","UC San Diego","Big West","@ UC Santa Barbara","L 0-3",3,NA,32,17,89,0.169,31,4,9,27,8,3,9,NA,43.5,NA
"2020-2021","03/11/2021","UC San Diego","Big West","@ UC Irvine","L 2-3",5,NA,57,NA,145,0.152,54,8,9,46,6,1,9,NA,70.5,1
"2020-2021","03/12/2021","UC San Diego","Big West","UC Irvine","W 3-2",5,NA,58,15,132,0.326,57,4,14,47,4,2,23,NA,75.5,NA
"2020-2021","03/26/2021","UC San Diego","Big West","@ Hawaii","L 1-3",4,NA,41,23,106,0.17,39,3,17,25,7,NA,11,2,49.5,NA
"2020-2021","03/27/2021","UC San Diego","Big West","@ Hawaii","L 0-3",3,NA,34,16,85,0.212,32,3,10,27,1,2,4,NA,41,NA
"2020-2021","04/02/2021","UC San Diego","Big West","@ CSUN","W 3-0",3,NA,30,10,66,0.303,27,4,12,23,4,1,10,NA,40,NA
"2020-2021","04/03/2021","UC San Diego","Big West","CSUN","W 3-2",5,NA,63,20,128,0.336,56,6,18,35,8,NA,16,NA,77,NA
"2020-2021","04/09/2021","UC San Diego","Big West","Long Beach St.","L 0-3",3,NA,36,14,82,0.268,34,4,8,26,6,NA,7,NA,43.5,NA
"2020-2021","04/10/2021","UC San Diego","Big West","@ Long Beach St.","L 0-3",3,NA,25,20,71,0.07,22,5,13,21,7,1,7,2,34.5,NA
"2020-2021","04/14/2021","UC San Diego","Big West","UC Santa Barbara","L 2-3",5,NA,64,20,129,0.341,60,3,16,40,9,NA,19,2,76.5,NA
"2020-2021","04/15/2021","UC San Diego","Big West","UC Santa Barbara","L 0-3",3,NA,40,22,107,0.168,39,3,11,39,4,NA,8,2,47,1
"2020-2021","04/17/2021","UC San Diego","Big West","@ UC Santa Barbara","L 0-3",3,NA,34,15,80,0.238,34,4,16,30,6,1,2,1,40,NA
"2020-2021","04/22/2021","UC San Diego","Big West","#5 CSUN @Honolulu, HI (2021 Big West MVB Tournament)","W 3-1",4,NA,55,19,134,0.269,50,9,14,54,5,2,21,2,76.5,2
"2020-2021","04/23/2021","UC San Diego","Big West","@#1 Hawaii 2021 Big West MVB Tournament","W 3-2",5,NA,55,21,141,0.241,53,10,15,37,NA,1,25,2,78.5,1
"2020-2021","04/24/2021","UC San Diego","Big West","#2 UC Santa Barbara @Honolulu, HI (2021 Big West MVB Tournament)","L 1-3",4,NA,51,27,139,0.173,48,6,23,50,5,NA,18,2,66,NA
"2020-2021","03/03/2021","UC Santa Barbara","Big West","UC San Diego","W 3-1",4,NA,62,15,133,0.353,59,4,13,51,2,1,18,3,76,NA
"2020-2021","03/04/2021","UC Santa Barbara","Big West","UC San Diego","W 3-0",3,NA,41,10,82,0.378,40,8,10,30,3,3,10,1,57,NA
"2020-2021","03/07/2021(1)","UC Santa Barbara","Big West","UC Irvine","W 3-0",3,NA,44,10,90,0.378,40,3,9,29,3,NA,13,NA,53.5,NA
"2020-2021","03/07/2021(2)","UC Santa Barbara","Big West","UC Irvine","W 3-1",4,NA,45,15,88,0.341,43,10,12,35,7,NA,12,1,61,NA
"2020-2021","03/11/2021","UC Santa Barbara","Big West","Hawaii","L 1-3",4,NA,50,20,119,0.252,49,2,17,42,2,1,11,NA,58.5,NA
"2020-2021","03/12/2021","UC Santa Barbara","Big West","Hawaii","L 0-3",3,NA,33,17,93,0.172,32,1,8,23,3,NA,7,NA,37.5,1
"2020-2021","03/13/2021","UC Santa Barbara","Big West","Hawaii","L 0-3",3,NA,42,13,88,0.33,40,4,8,23,6,1,7,2,50.5,NA
"2020-2021","03/20/2021","UC Santa Barbara","Big West","Long Beach St.","W 3-1",4,NA,52,18,113,0.301,48,3,14,49,4,2,21,1,67.5,2
"2020-2021","03/21/2021","UC Santa Barbara","Big West","@ Long Beach St.","L 1-3",4,NA,47,19,144,0.194,41,4,8,51,3,NA,11,1,56.5,NA
"2020-2021","03/26/2021","UC Santa Barbara","Big West","@ CSUN","W 3-0",3,NA,47,3,85,NA,45,1,13,30,5,2,10,2,55,NA
"2020-2021","03/27/2021","UC Santa Barbara","Big West","CSUN","W 3-0",3,NA,45,11,80,0.425,43,2,11,39,4,NA,16,3,55,1
"2020-2021","03/31/2021","UC Santa Barbara","Big West","UC Irvine","W 3-1",4,NA,60,18,112,0.375,54,2,12,31,1,1,13,1,69.5,NA
"2020-2021","04/02/2021","UC Santa Barbara","Big West","@ UC Irvine","W 3-0",3,NA,43,9,85,0.4,40,4,7,35,3,NA,19,NA,56.5,NA
"2020-2021","04/03/2021","UC Santa Barbara","Big West","@ UC Irvine","W 3-0",3,NA,38,12,88,0.295,36,9,9,35,3,1,6,1,51,NA
"2020-2021","04/14/2021","UC Santa Barbara","Big West","@ UC San Diego","W 3-2",5,NA,58,15,126,0.341,53,9,16,36,3,NA,14,1,74,NA
"2020-2021","04/15/2021","UC Santa Barbara","Big West","@ UC San Diego","W 3-0",3,NA,42,15,99,0.273,42,4,15,36,3,NA,21,NA,56.5,NA
"2020-2021","04/17/2021","UC Santa Barbara","Big West","UC San Diego","W 3-0",3,NA,37,6,78,0.397,33,6,13,28,4,NA,14,2,50,NA
"2020-2021","04/23/2021","UC Santa Barbara","Big West","#3 Long Beach St. @Honolulu, HI (2021 Big West MVB Tournament)","W 3-1",4,NA,48,15,113,0.292,44,4,12,42,4,NA,16,2,60,NA
"2020-2021","04/24/2021","UC Santa Barbara","Big West","#4 UC San Diego @Honolulu, HI (2021 Big West MVB Tournament)","W 3-1",4,NA,44,20,126,0.19,44,5,14,50,6,1,27,5,63.5,NA
"2020-2021","05/04/2021","UC Santa Barbara","Big West","Pepperdine @Columbus, OH (2021 NCAA National Collegiate MVB Championship)","W 3-1",4,NA,64,18,137,0.336,64,5,20,44,6,NA,17,5,77.5,NA
"2020-2021","05/06/2021","UC Santa Barbara","Big West","#1 Hawaii @Columbus, OH (2021 NCAA National Collegiate MVB Championship)","L 0-3",3,NA,36,20,94,0.17,33,1,10,39,6,NA,8,1,41,NA
"2020-2021","01/30/2021","Barton","Conference Carolinas","@ George Mason","L 0-3",3,NA,25,8,69,0.246,24,1,13,11,12,3,6,NA,32,NA
"2020-2021","02/06/2021","Barton","Conference Carolinas","Emmanuel (GA)","W 3-1",4,NA,51,21,118,0.254,45,9,19,35,7,2,10,1,67,NA
"2020-2021","02/10/2021","Barton","Conference Carolinas","Limestone","W 3-1",4,NA,50,21,128,0.227,48,3,21,43,7,3,10,1,61,NA
"2020-2021","02/12/2021","Barton","Conference Carolinas","@ Lees-McRae","W 3-0",3,NA,35,12,68,0.338,27,9,22,15,2,1,6,2,48,1
"2020-2021","02/13/2021","Barton","Conference Carolinas","@ King (TN)","L 0-3",3,NA,41,23,132,0.136,38,1,15,54,3,1,3,1,44.5,2
"2020-2021","02/17/2021","Barton","Conference Carolinas","Queens (NC)","W 3-2",5,NA,66,24,137,0.307,60,4,16,45,8,6,6,NA,79,2
"2020-2021","02/19/2021","Barton","Conference Carolinas","@ North Greenville","L 0-3",3,NA,35,14,76,0.276,35,4,16,16,8,2,14,NA,48,NA
"2020-2021","02/20/2021","Barton","Conference Carolinas","@ Belmont Abbey","W 3-0",3,NA,42,15,89,0.303,39,5,16,29,4,2,14,1,56,1
"2020-2021","02/24/2021","Barton","Conference Carolinas","@ Mount Olive","L 2-3",5,NA,69,26,166,0.259,63,2,20,72,8,2,6,NA,76,NA
"2020-2021","02/28/2021","Barton","Conference Carolinas","@ Erskine","L 0-3",3,NA,35,15,80,0.25,31,2,14,22,3,1,10,3,43,4
"2020-2021","03/01/2021","Barton","Conference Carolinas","@ Emmanuel (GA)","L 2-3",5,NA,58,25,146,0.226,53,3,17,54,4,2,10,18,68,NA
"2020-2021","03/05/2021","Barton","Conference Carolinas","King (TN)","W 3-1",4,NA,69,29,169,0.237,68,5,18,70,5,3,16,NA,85,1
"2020-2021","03/06/2021","Barton","Conference Carolinas","Lees-McRae","W 3-0",3,NA,41,12,86,0.337,37,5,19,28,1,1,12,NA,53,NA
"2020-2021","03/10/2021","Barton","Conference Carolinas","@ Limestone","L 1-3",4,NA,45,32,130,0.1,43,5,13,52,3,2,14,2,59,NA
"2020-2021","03/20/2021","Barton","Conference Carolinas","@ Queens (NC)","L 1-3",4,NA,50,22,129,0.217,50,2,17,42,6,NA,8,4,56,1
"2020-2021","03/26/2021","Barton","Conference Carolinas","North Greenville","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-2021","03/27/2021","Barton","Conference Carolinas","Belmont Abbey","W 3-1",4,NA,59,20,143,0.273,56,4,14,54,3,7,NA,3,70,1
"2020-2021","04/03/2021","Barton","Conference Carolinas","Erskine","W 3-2",5,NA,64,25,156,0.25,57,5,15,42,3,NA,NA,1,81,NA
"2020-2021","04/06/2021","Barton","Conference Carolinas","Mount Olive","L 2-3",5,NA,56,24,137,0.234,54,4,14,54,5,4,NA,2,64,NA
"2020-2021","04/13/2021","Barton","Conference Carolinas","#5 King (TN) 2021 Conference Carolinas MVB Tournament","L 0-3",3,NA,38,21,92,0.185,37,4,14,27,3,1,10,NA,48,NA
"2020-2021","01/23/2021","Belmont Abbey","Conference Carolinas","Limestone","W 3-1",4,NA,48,17,107,0.29,44,3,22,33,3,2,14,4,60,NA
"2020-2021","01/28/2021","Belmont Abbey","Conference Carolinas","@ Queens (NC)","W 3-2",5,NA,56,26,136,0.221,56,2,17,55,11,3,18,4,70,NA
"2020-2021","01/30/2021","Belmont Abbey","Conference Carolinas","@ Tusculum","W 3-0",3,NA,34,11,61,0.377,31,6,11,16,3,1,2,NA,42,1
"2020-2021","02/03/2021","Belmont Abbey","Conference Carolinas","@ North Greenville","W 3-2",5,NA,48,24,109,0.22,46,7,22,35,10,1,10,NA,61,NA
"2020-2021","02/05/2021","Belmont Abbey","Conference Carolinas","Southern Va.","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-2021","02/12/2021","Belmont Abbey","Conference Carolinas","Emmanuel (GA)","W 3-1",4,NA,50,19,115,0.27,45,5,19,40,6,3,11,5,63.5,NA
"2020-2021","02/19/2021","Belmont Abbey","Conference Carolinas","Mount Olive","L 0-3",3,NA,44,25,108,0.176,43,3,11,29,3,NA,8,2,51,NA
"2020-2021","02/20/2021","Belmont Abbey","Conference Carolinas","Barton","L 0-3",3,NA,28,17,81,0.136,24,4,11,26,5,NA,15,NA,39.5,NA
"2020-2021","02/23/2021","Belmont Abbey","Conference Carolinas","Erskine","W 3-0",3,NA,39,19,82,0.244,36,4,14,24,NA,1,6,4,47,2
"2020-2021","02/26/2021","Belmont Abbey","Conference Carolinas","@ Lees-McRae","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-2021","03/03/2021","Belmont Abbey","Conference Carolinas","Queens (NC)","L 0-3",3,NA,42,20,83,0.265,40,2,15,23,6,2,10,NA,51,NA
"2020-2021","03/05/2021","Belmont Abbey","Conference Carolinas","@ Limestone","L 2-3",5,NA,60,NA,154,0.149,58,2,19,44,5,3,16,1,73,1
"2020-2021","03/12/2021","Belmont Abbey","Conference Carolinas","King (TN)","W 3-1",4,NA,59,21,117,0.325,55,8,20,38,4,1,16,2,76,NA
"2020-2021","03/13/2021","Belmont Abbey","Conference Carolinas","@ Lees-McRae","L 2-3",5,NA,67,30,139,0.266,60,5,20,52,4,1,6,1,76,1
"2020-2021","03/17/2021","Belmont Abbey","Conference Carolinas","Tusculum","W 3-0",3,NA,31,11,57,0.351,29,7,16,19,1,NA,8,1,42,NA
"2020-2021","03/19/2021","Belmont Abbey","Conference Carolinas","@ Erskine","W 3-0",3,NA,35,7,68,0.412,33,6,13,23,1,3,14,1,51,1
"2020-2021","03/20/2021","Belmont Abbey","Conference Carolinas","@ Emmanuel (GA)","W 3-1",4,NA,52,18,110,0.309,50,10,17,39,5,NA,18,NA,71,NA
"2020-2021","03/23/2021","Belmont Abbey","Conference Carolinas","@ King (TN)","W 3-2",5,NA,74,26,166,0.289,69,4,24,53,4,3,18,3,NA,1
"2020-2021","03/26/2021","Belmont Abbey","Conference Carolinas","@ Mount Olive","L 1-3",4,NA,55,22,132,0.25,49,2,19,49,5,3,3,NA,61.5,NA
"2020-2021","03/27/2021","Belmont Abbey","Conference Carolinas","@ Barton","L 1-3",4,NA,51,22,136,0.213,49,3,15,51,4,7,2,NA,62,NA
"2020-2021","03/30/2021","Belmont Abbey","Conference Carolinas","Lees-McRae","W 3-0",3,NA,52,21,111,0.279,47,5,8,36,1,NA,6,1,60,NA
"2020-2021","04/06/2021","Belmont Abbey","Conference Carolinas","North Greenville","W 3-1",4,NA,51,23,112,0.25,48,8,18,40,8,NA,18,2,68,1
"2020-2021","04/17/2021","Belmont Abbey","Conference Carolinas","#3 North Greenville @Bristol, TN (2021 Conference Carolinas MVB Tournament)","W 3-1",4,NA,54,19,110,0.318,54,5,21,43,4,1,15,1,67.5,NA
"2020-2021","04/18/2021","Belmont Abbey","Conference Carolinas","#1 Mount Olive @Bristol, TN (2021 Conference Carolinas MVB Tournament)","W 3-1",4,NA,61,18,129,0.333,58,3,13,42,4,2,12,2,72,1
"2020-2021","05/03/2021","Belmont Abbey","Conference Carolinas","Penn St. @Columbus, OH (2021 NCAA National Collegiate MVB Championship)","L 0-3",3,NA,30,18,65,0.185,30,5,12,19,11,1,2,NA,37,NA
"2020-2021","01/22/2021","Emmanuel (GA)","Conference Carolinas","@ Tusculum","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-2021","02/02/2021","Emmanuel (GA)","Conference Carolinas","@ Limestone","L 1-3",4,NA,54,24,131,0.229,48,3,17,39,5,1,8,2,62,2
"2020-2021","02/05/2021","Emmanuel (GA)","Conference Carolinas","@ Mount Olive","L 0-3",3,NA,42,15,105,0.257,40,1,10,40,2,2,NA,NA,45,NA
"2020-2021","02/06/2021","Emmanuel (GA)","Conference Carolinas","@ Barton","L 1-3",4,NA,38,25,108,0.12,36,7,15,31,9,4,12,1,55,1
"2020-2021","02/09/2021","Emmanuel (GA)","Conference Carolinas","@ Queens (NC)","L 2-3",5,NA,55,16,134,0.291,52,4,18,52,7,3,16,2,70,1
"2020-2021","02/12/2021","Emmanuel (GA)","Conference Carolinas","@ Belmont Abbey","L 1-3",4,NA,47,23,116,0.207,47,6,16,40,5,NA,18,3,62,2
"2020-2021","02/13/2021","Emmanuel (GA)","Conference Carolinas","Lincoln Memorial","W 3-1",4,NA,51,19,109,0.294,47,6,18,30,6,7,6,2,67,NA
"2020-2021","02/14/2021","Emmanuel (GA)","Conference Carolinas","Tusculum","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-2021","02/19/2021","Emmanuel (GA)","Conference Carolinas","Lees-McRae","W 3-1",4,NA,52,23,114,0.254,45,10,13,40,2,5,2,10,68,NA
"2020-2021","02/20/2021","Emmanuel (GA)","Conference Carolinas","King (TN)","L 0-3",3,NA,35,20,106,0.142,30,2,15,31,2,1,10,6,43,NA
"2020-2021","02/28/2021","Emmanuel (GA)","Conference Carolinas","Mount Olive","L 2-3",5,NA,72,26,175,0.263,66,4,17,NA,2,1,10,11,82,NA
"2020-2021","03/01/2021","Emmanuel (GA)","Conference Carolinas","Barton","W 3-2",5,NA,63,22,144,0.285,58,4,16,49,3,3,20,NA,80,NA
"2020-2021","03/04/2021","Emmanuel (GA)","Conference Carolinas","@ North Greenville","L 0-3",3,NA,23,23,76,NA,22,5,10,17,3,1,7,NA,32.5,NA
"2020-2021","03/09/2021","Emmanuel (GA)","Conference Carolinas","@ Lincoln Memorial","L 0-3",3,NA,28,18,73,0.137,25,7,16,20,4,1,6,NA,39,1
"2020-2021","03/10/2021","Emmanuel (GA)","Conference Carolinas","@ Tusculum","W 3-1",4,NA,49,21,118,0.237,45,3,23,42,7,5,12,3,63,NA
"2020-2021","03/12/2021","Emmanuel (GA)","Conference Carolinas","Jamestown","L 0-3",3,NA,25,18,70,0.1,23,2,12,16,3,1,6,5,31,NA
"2020-2021","03/16/2021","Emmanuel (GA)","Conference Carolinas","Erskine","W 3-1",4,NA,47,12,109,0.321,42,2,14,34,4,7,6,15,59,NA
"2020-2021","03/19/2021","Emmanuel (GA)","Conference Carolinas","North Greenville","W 3-2",5,NA,54,24,138,0.217,51,5,17,47,5,NA,26,1,72,NA
"2020-2021","03/20/2021","Emmanuel (GA)","Conference Carolinas","Belmont Abbey","L 1-3",4,NA,45,19,114,0.228,38,5,14,33,10,1,10,2,56,NA
"2020-2021","03/26/2021","Emmanuel (GA)","Conference Carolinas","@ King (TN)","L 0-3",3,NA,36,20,96,0.167,34,3,10,24,3,1,10,2,45,1
"2020-2021","03/27/2021","Emmanuel (GA)","Conference Carolinas","@ Lees-McRae","W 3-2",5,NA,70,27,158,0.272,63,7,NA,53,2,3,12,1,86,3
"2020-2021","03/30/2021","Emmanuel (GA)","Conference Carolinas","Limestone","W 3-0",3,NA,38,8,66,NA,34,13,17,18,2,2,9,3,57.5,NA
"2020-2021","04/06/2021","Emmanuel (GA)","Conference Carolinas","@ Erskine","W 3-0",3,NA,38,9,82,0.354,34,6,15,21,4,NA,12,3,50,NA
"2020-2021","04/08/2021","Emmanuel (GA)","Conference Carolinas","#7 Erskine 2021 Conference Carolinas MVB Tournament","W 3-0",3,NA,40,11,74,0.392,35,3,16,27,3,3,4,NA,48,NA
"2020-2021","04/13/2021","Emmanuel (GA)","Conference Carolinas","@#3 North Greenville 2021 Conference Carolinas MVB Tournament","L 0-3",3,NA,28,17,69,0.159,26,2,13,24,7,2,15,NA,39.5,NA
"2020-2021","01/22/2021","Erskine","Conference Carolinas","Maranatha Baptist @Winston-Salem, NC","W 3-0",3,NA,38,12,71,0.366,38,7,19,24,3,6,10,1,56,NA
